V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14
0.26938 0 9.9 0 0.544 6.266 82.8 3.2628 4 304 18.4 393.39 7.9 2
6.28807 0 18.1 0 0.74 6.341 96.4 2.072 24 666 20.2 318.01 17.79 2
0.21161 0 8.56 0 0.52 6.137 87.4 2.7147 5 384 20.9 394.47 13.44 2
1.49632 0 19.58 0 0.871 5.404 100 1.5916 5 403 14.7 341.6 13.28 2
0.95577 0 8.14 0 0.538 6.047 88.8 4.4534 4 307 21 306.38 17.28 2
1.80028 0 19.58 0 0.605 5.877 79.2 2.4259 5 403 14.7 227.61 12.14 3
0.01965 80 1.76 0 0.385 6.23 31.5 9.0892 1 241 18.2 341.6 12.93 2
0.35114 0 7.38 0 0.493 6.041 49.9 4.7211 5 287 19.6 396.9 7.7 2
0.85204 0 8.14 0 0.538 5.965 89.2 4.0123 4 307 21 392.53 13.83 2
3.67367 0 18.1 0 0.583 6.312 51.9 3.9917 24 666 20.2 388.62 10.58 2
5.69175 0 18.1 0 0.583 6.114 79.8 3.5459 24 666 20.2 392.68 14.98 2
0.24103 0 7.38 0 0.493 6.083 43.7 5.4159 5 287 19.6 396.9 12.79 2
0.06911 45 3.44 0 0.437 6.739 30.8 6.4798 5 398 15.2 389.71 4.69 3
2.14918 0 19.58 0 0.871 5.709 98.5 1.6232 5 403 14.7 261.95 15.79 2
0.14052 0 10.59 0 0.489 6.375 32.3 3.9454 4 277 18.6 385.81 9.38 3
0.12204 0 2.89 0 0.445 6.625 57.8 3.4952 2 276 18 357.98 6.65 3
1.41385 0 19.58 1 0.871 6.129 96 1.7494 5 403 14.7 321.02 15.12 2
0.03768 80 1.52 0 0.404 7.274 38.3 7.309 2 329 12.6 392.2 6.62 4
9.18702 0 18.1 0 0.7 5.536 100 1.5804 24 666 20.2 396.9 23.6 1
0.0686 0 2.89 0 0.445 7.416 62.5 3.4952 2 276 18 396.9 6.19 4
0.03466 35 6.06 0 0.4379 6.031 23.3 6.6407 1 304 16.9 362.25 7.83 2
0.21038 20 3.33 0 0.4429 6.812 32.2 4.1007 5 216 14.9 396.9 4.85 4
0.05372 0 13.92 0 0.437 6.549 51 5.9604 4 289 16 392.85 7.39 3
1.38799 0 8.14 0 0.538 5.95 82 3.99 4 307 21 232.6 27.71 1
5.87205 0 18.1 0 0.693 6.405 96 1.6768 24 666 20.2 396.9 19.37 1
9.92485 0 18.1 0 0.74 6.251 96.6 2.198 24 666 20.2 388.52 16.44 1
3.1636 0 18.1 0 0.655 5.759 48.2 3.0665 24 666 20.2 334.4 14.13 2
0.05188 0 4.49 0 0.449 6.015 45.1 4.4272 3 247 18.5 395.99 12.86 2
0.06617 0 3.24 0 0.46 5.868 25.8 5.2146 4 430 16.9 382.44 9.97 2
2.36862 0 19.58 0 0.871 4.926 95.7 1.4608 5 403 14.7 391.71 29.53 2
16.8118 0 18.1 0 0.7 5.277 98.1 1.4261 24 666 20.2 396.9 30.81 1
0.08664 45 3.44 0 0.437 7.178 26.3 6.4798 5 398 15.2 390.49 2.87 4
4.0974 0 19.58 0 0.871 5.468 100 1.4118 5 403 14.7 396.9 26.42 2
0.25199 0 10.59 0 0.489 5.783 72.7 4.3549 4 277 18.6 389.43 18.06 2
0.29916 20 6.96 0 0.464 5.856 42.1 4.429 3 223 18.6 388.65 13 2
15.8603 0 18.1 0 0.679 5.896 95.4 1.9096 24 666 20.2 7.68 24.39 1
0.19133 22 5.86 0 0.431 5.605 70.2 7.9549 7 330 19.1 389.13 18.46 2
0.15086 0 27.74 0 0.609 5.454 92.7 1.8209 4 711 20.1 395.09 18.06 2
5.29305 0 18.1 0 0.7 6.051 82.5 2.1678 24 666 20.2 378.38 18.76 3
0.09178 0 4.05 0 0.51 6.416 84.1 2.6463 5 296 16.6 395.5 9.04 3
4.64689 0 18.1 0 0.614 6.98 67.6 2.5329 24 666 20.2 374.68 11.66 3
0.07896 0 12.83 0 0.437 6.273 6 4.2515 5 398 18.7 394.92 6.78 3
0.06263 0 11.93 0 0.573 6.593 69.1 2.4786 1 273 21 391.99 9.67 2
0.04666 80 1.52 0 0.404 7.107 36.6 7.309 2 329 12.6 354.31 8.61 3
7.67202 0 18.1 0 0.693 5.747 98.9 1.6334 24 666 20.2 393.1 19.92 1
0.14932 25 5.13 0 0.453 5.741 66.2 7.2254 8 284 19.7 395.11 13.15 2
45.7461 0 18.1 0 0.693 4.519 100 1.6582 24 666 20.2 88.27 36.98 1
3.8497 0 18.1 1 0.77 6.395 91 2.5052 24 666 20.2 391.34 13.27 2
0.12083 0 2.89 0 0.445 8.069 76 3.4952 2 276 18 396.9 4.21 4
0.46296 0 6.2 0 0.504 7.412 76.9 3.6715 8 307 17.4 376.14 5.25 3
0.04819 80 3.64 0 0.392 6.108 32 9.2203 1 315 16.4 392.89 6.57 2
4.66883 0 18.1 0 0.713 5.976 87.9 2.5806 24 666 20.2 10.48 19.01 1
0.17331 0 9.69 0 0.585 5.707 54 2.3817 6 391 19.2 396.9 12.01 2
0.37578 0 10.59 1 0.489 5.404 88.6 3.665 4 277 18.6 395.24 23.98 2
14.2362 0 18.1 0 0.693 6.343 100 1.5741 24 666 20.2 396.9 20.32 1
0.03961 0 5.19 0 0.515 6.037 34.5 5.9853 5 224 20.2 396.9 8.01 2
0.03871 52.5 5.32 0 0.405 6.209 31.3 7.3172 6 293 16.6 396.9 7.14 3
0.62356 0 6.2 1 0.507 6.879 77.7 3.2721 8 307 17.4 390.39 9.93 3
0.14103 0 13.92 0 0.437 5.79 58 6.32 4 289 16 396.9 15.84 2
0.01439 60 2.93 0 0.401 6.604 18.8 6.2196 1 265 15.6 376.7 4.38 3
2.15505 0 19.58 0 0.871 5.628 100 1.5166 5 403 14.7 169.27 16.65 2
0.80271 0 8.14 0 0.538 5.456 36.6 3.7965 4 307 21 288.99 11.69 2
0.02729 0 7.07 0 0.469 7.185 61.1 4.9671 2 242 17.8 392.83 4.03 4
5.82401 0 18.1 0 0.532 6.242 64.7 3.4242 24 666 20.2 396.9 10.74 2
0.03932 0 3.41 0 0.489 6.405 73.9 3.0921 2 270 17.8 393.55 8.2 2
