V1 V2 V3 V4 V5 V6 V7 V8 V9 V10
39.625 23.75 15 37.625 45.875 15.875 66.625 24.375 37 2
48.625 40.75 19 51.5 55.5 22.875 80.75 26.625 42.375 3
46.75 39.625 16 56.875 49.625 22.75 82.375 27.125 40 2
35.328 58.625 20.125 48.75 73.25 25.25 79 23 47.875 4
26.219 53 21 41.5 64.125 30.375 65.625 20.375 45.25 1
28.063 52.125 21.375 43.375 77.75 34.875 70 20.125 42.5 2
49.75 42.5 18.375 52.75 55.625 28 82 26.375 43.375 3
19.063 50.5 19.125 43.875 61.875 29.625 66.875 17.75 47.375 1
28.891 53.25 21.5 44.125 89.5 29.625 68.25 22 45.125 3
47.125 30.625 20.75 50.25 37 19.875 76.375 27.625 38.375 2
25.672 53.25 22.125 42.625 64.75 31 65.625 21.125 46.375 1
27.172 50.875 19.75 40.625 79.375 27.125 67.5 21.875 42.5 2
21.109 53.125 19.875 46.25 63.125 30 68 18.75 50.125 2
47.578 37 16 42 55.375 14.75 63.375 22.25 50.25 4
21.781 55 20.75 43.25 62.75 28.875 66.75 18.625 43 1
34.672 57.625 21.875 44.875 79 26 73.125 22.25 45.5 3
50.125 47 19.875 50.75 62.75 22.875 74.5 25.25 40.625 2
37.75 58.25 20.625 53 69.625 22.875 80 23.5 47.125 4
56.672 35.625 16.125 43.125 45.875 18 63.125 27.625 49.875 5
48.75 26.25 15 34.625 41.75 17 61.75 23.5 39 3
19.063 49.75 20 44.375 61.25 29.875 66.5 16.875 48 1
45.125 24.625 19.75 46.25 43.625 18.625 67.5 25.375 36.125 3
51 34.25 14.25 43.875 44.875 17.5 64.375 25.375 50 5
58.125 34.5 15.875 45.625 39.5 19.75 64.75 27.5 49.125 5
18.563 49.375 19.125 42.5 60.75 27.25 65.75 16.875 47.875 1
38.078 57.375 22 51 72.625 23.75 78.875 25 47.875 4
25.828 53.875 22.125 43.25 65.125 30.625 66.625 21.5 46.75 1
22.281 55 20.625 43 63.125 29.25 66 18.625 44.5 1
34.078 60 22.25 47 77.75 26.875 76.5 22.25 47.875 4
55.875 30.5 14.125 39.875 41.375 17 61.875 27.5 42.875 5
46.875 38.75 16.75 59.75 51.25 23 82.375 27.25 40 2
51.125 26.5 16.625 50.375 40.125 25.125 76 29.25 38.375 3
34.172 58.125 21.375 48.125 75.5 27.25 74.625 22.5 45 4
46.125 25.375 19.5 45 42.25 19.25 68.75 27.625 37.5 3
47.25 34.375 16.25 54.875 40.5 28.25 81.75 28 39.25 3
33.75 60 21.875 47.75 79.625 26.5 76.875 22.375 48 4
36.672 58 20.875 50.125 71.875 23.625 79 24 47.5 4
57.625 32.125 16.25 41.75 34.875 18.25 62.125 27 47.125 5
46.625 33.25 15.875 55.125 42.75 27.625 82 27.75 40.75 3
39.828 44 17.125 39.875 65.5 17.25 68.25 21.125 45.5 4
33.422 58.125 19.875 47.625 73 25.5 77.875 22.75 48.375 4
40 43.625 17.125 40 62.75 17.25 65.5 21.125 45.875 4
44.75 23.875 15.875 37.75 48.75 14.875 68.5 24.875 32.625 2
38.922 45.625 15.625 42.625 61 17.125 66.875 22.5 48.625 4
29.781 53.375 22.5 44 77.875 33.25 73.25 22.5 46 2
24.5 52.75 19.75 41.875 60.375 28.875 63.75 19.5 46.75 1
36.922 51 18.375 47.25 69.25 18.5 78 23.625 47 4
46.25 39.625 15.875 57.375 50.75 22.625 82 27.375 40.125 2
48.828 37.625 15.5 42.25 55.375 15.875 63.25 22.25 50.25 5
27.781 50.125 20 43.25 88.875 27 69.875 22 45 2
60 32.625 16.125 39.875 43.875 17.875 61 27.25 47.125 5
29.563 52.75 21.5 44.875 90 29 67.875 21.625 44.625 2
50 41.125 19.125 51.75 54.125 26.875 81 26.75 42.125 2
23.938 53.625 19.875 42.375 60.625 28.875 63.25 18.5 44.875 1
33.578 60.125 22.375 46.375 77.375 27 75.375 21.875 47.625 4
52.75 34.375 14.75 43.375 45.75 18 64.625 25.75 50 5
44.5 22.25 15.5 38.25 49.375 15.125 67.375 24.625 32.75 3
26.891 51.75 21.5 40.875 64.875 30.5 68 20.75 44.625 1
48.578 38.5 16.375 43.125 56 15 63.625 22.5 51 5
26.5 49.75 21.375 39.625 62.5 29.625 65.5 20.125 42.75 1
19.063 50.25 18.375 43.5 60.375 29.125 65.75 16.375 47.875 1
36.078 56.875 20.5 49.75 72.75 23.75 78.5 24.25 46.875 4
40.875 24.125 15.375 38 46.625 15.75 66.5 24.5 37.375 2
47 33.5 16 56.25 37.5 28.875 81.875 27.75 40.625 3
24.828 54.5 20.625 43.625 61.875 29.375 64.75 20 47.25 1
28.781 52.875 22.625 44.125 75.75 33.375 72.5 21 44 2
35.922 58.375 20.375 48.875 73.875 25.625 79.5 23.25 49.125 4
40.828 42.25 15.625 43.875 62.25 18 67.25 22.625 49.375 4
54.672 35.25 15.5 42.625 45.625 17.75 63.75 27.5 50 5
53 28.625 15 36.875 43 15.25 61.25 26 40.25 4
21.063 54.5 19.25 46.75 63.25 30.25 68.75 18.875 48.625 1
27.719 49.375 21 41.75 77.375 31.75 70.5 20.25 41.625 2
46.25 23.625 18.25 43.375 44.375 18.5 68.75 27.125 33.5 3
48.25 44.125 19.375 57.5 54 30.375 85.875 26 42.75 3
26.563 51.5 22.125 40.625 64 29.875 66.375 20.875 41.625 1
44.875 25.375 18.625 43.875 37.625 18 69 27.25 36.25 3
48.25 24.875 14.5 34.375 42.625 16.75 60.625 23.875 39 3
27.5 50.5 21 41.75 75.875 33 69.5 19.75 42.125 2
27.172 51 20.375 40 76.25 28.5 70.125 20.875 43.75 2
34.5 57.5 21.75 47.75 77.375 27.125 74 22.75 46.125 4
47.75 31.125 15.25 54.125 40.75 28 81 26.25 39.625 3
28.609 50.75 22.375 42.625 73.25 32.875 72.875 21.875 45.875 2
41.75 45.25 15.375 46.375 62.875 18.5 69.875 23.375 50 4
39.25 45.125 16.125 39.75 61.5 17.5 68.625 21 49.375 4
33.922 59.375 22.5 46.125 72 26.75 75.75 22.375 48.625 4
28.219 50.875 20.625 43.375 88.5 28.375 66.75 22 44.75 2
42.625 23 17.625 41.875 49.875 16.5 67 26.25 35 2
34.063 56.875 20.625 44 80.375 26.75 70.125 22 44.75 3
21.781 53.5 19.625 41.75 61.75 28.875 63.25 18.5 44.5 1
48.5 38.875 16.25 43.75 56.125 15.375 64.125 22.75 50.875 5
40.5 43.75 16.375 39.125 61.625 17.25 65.125 20.125 48.125 4
49.172 33.375 13.75 43.75 47.625 17.5 64 24.875 49.25 5
43.75 44.125 19 59 53 28.375 84.25 26.875 44.5 3
26.609 50.875 20.125 40.25 82.25 26.5 67.125 21.625 42.5 2
47.25 28.875 19.5 52.75 37.125 21 75 27.5 38.75 3
20.563 52.625 18.875 46.5 63.375 32.125 67 18 49 1
27.5 50.25 20.625 41.5 76.125 32.875 69.125 19.875 42.375 1
51.375 26.5 18 52.625 47 24.5 76.875 28 41.875 3
24.109 55 20.75 45 62.75 29.625 65.625 20.125 47.875 1
48.25 39.875 17.625 58.375 56.375 25.25 85 27.75 43.25 3
26.438 51.75 22.125 40 62.875 30 65.25 20.875 42.125 1
48.125 38.875 17.875 56.375 53.875 27 80.875 26.375 41.75 3
48.5 26.125 15.375 35.125 43.75 15.125 60 22.875 39.5 3
47.75 39 17.5 57.875 53.5 25.875 84 27.5 42.75 3
46.375 24 17 40.5 51.375 15.625 69.375 24.875 35 3
21.5 54.625 20.375 43.375 63.75 28.25 65.5 18.5 43 1
26.719 50.75 19.875 40 76.125 26.5 69.625 21.5 42.25 2
25.563 53.375 21.25 41.25 63.75 30.125 65.25 20.25 45 1
59 34.5 16.375 43.875 35.75 19.75 64.5 27.5 49.25 5
40.328 36.5 13.875 38.75 55.25 17 61.375 21.25 47.125 3
45.625 44.125 17.875 56.875 59.5 27.25 82.875 26.75 43.5 3
45.375 23.125 16.625 38.625 51.375 14.75 70 25.125 31.75 2
49 39 17.75 57 54.625 25.875 83 26.375 41.875 3
28.281 50 21.625 42.125 69 30.875 70.375 21.75 44.375 2
50.625 48.75 20 53.25 62 24.5 79.5 26.5 42.375 2
46 22.375 14.375 39 49.625 15.375 64.875 23.5 35.25 3
33.719 57 20.375 43.75 78.75 26.25 68.875 21.875 43.875 3
44.922 37.5 14.375 41.375 56 17 61.875 21.875 49.625 4
41 36.625 13.625 39.375 55.125 17 62.25 21.125 46.875 3
46.25 44.25 20 56.875 52 29 84.375 26.875 44.125 3
35.563 58.5 22.375 46 80.25 25.375 71.75 22.375 45.875 4
46.125 38.875 15.75 56.375 49.25 22.25 80.875 26.375 39.5 2
21.438 55.25 21.125 43.25 64.125 29 67 18.25 44 1
20.281 54.25 21.75 43.125 64 28.625 66.125 19.125 44.375 1
41.828 45.875 15.75 46.25 63 17.875 71 22.875 50.75 4
46 20 14.125 38.125 48.875 15.125 64.25 22.375 31.5 3
48.5 20.75 14.625 39.25 50.25 16.25 67.375 25 31.875 3
46.5 44.625 19.75 57.25 57 30 85 26.625 45.25 3
49.25 24.5 14.5 46.5 41 25.75 75.25 27.5 40.75 3
43.75 44.375 18.75 59.875 57.25 29.75 84.25 27.375 44.375 3
41.422 42.75 15.25 45.125 62.25 17.75 67.25 22.25 48.75 4
37.828 52.75 19 48.125 69.5 18.875 81.125 23.25 47.25 4
51.328 34.125 14.125 44.875 46 17.375 64.25 25.25 50 5
40.328 44.75 16.125 39.125 61.375 16.875 66.25 20.25 48.25 4
40.828 43.625 16.375 39.875 62.75 17.125 65.5 20.75 47.375 4
17.438 49 20 41.375 59.75 25.875 63.25 16.5 47.5 1
34.281 56.75 20.625 45.25 84.5 27.125 69.625 22.125 44.75 4
45.5 39 17.5 54.5 48.25 24.375 80.75 27.625 40 3
48.672 34.75 13.875 41.25 48.875 15.625 62.25 25 47.75 4
26 50.5 19.375 39.75 74.75 25.75 69.875 21 41.625 2
49 39.625 19.375 52.25 55.125 22 81.5 26.875 42.875 3
28.109 51 19.875 42.125 88.125 27.875 71.125 22.5 45.125 2
39.672 40.375 13.375 41.75 59.875 17.625 65.375 23 47 4
41.25 44.125 15.125 45.875 62.625 17.875 68.25 22.5 49.25 4
27.781 49.875 20 43.875 89 27.375 68.25 21.75 45.125 2
49.75 41.75 20.125 52.75 57.125 23.125 78.375 26.5 41.75 3
45.5 43.625 19.5 55.625 54 29 84.375 27.5 44.375 3
26.563 50.25 19.625 40 75.125 26.25 68 21.625 41.25 2
58.5 35.875 15.875 43.125 45.25 17.875 64.25 27.5 50 5
40.422 43.375 16.75 39.875 62.875 17.125 65.625 20.75 47 4
45.625 43.75 18 57.25 58.625 27.625 84.25 27.25 43.25 3
31.891 55.125 21.25 45.75 93 27.5 67.375 21.875 45 3
48.375 23.875 15.625 49.375 40.5 26.125 77.875 28.875 40.875 3
27.5 50.375 20.125 43.375 88.75 27.375 68.75 22 45.25 2
32.891 56.375 20.25 45.25 84.125 26.625 69.375 21.875 45.25 3
45 37.25 14.25 41.25 56 16.875 61.625 21.75 50 4
29.219 50.75 22.875 42.75 74 32.625 73.75 22.625 47.625 2
34.922 58.375 21 48.5 74.75 25.875 79.25 22.875 48.625 4
26.281 50.75 19.5 39.5 75 25.625 68.875 20.625 41 2
46.125 22.375 15.125 38.875 50.625 15.375 66 24.5 33.375 3
26.891 51.125 19.875 40 79.75 26.5 67 22 42.375 2
27.109 50.75 20.125 42.375 86.375 27.75 66.5 21.125 44.375 2
50.25 45.625 19.75 52.5 59.125 24 79 26.75 42.25 3
28 49.875 19.875 42.25 84.625 26.125 70.25 21.625 44 2
59 32 15 41.125 42.5 18 64.375 28.375 46 5
47.828 37.5 16.375 42.625 55.5 14.75 64.375 22.25 51.25 5
46.375 45 19.75 57.625 57.125 29.75 84.75 27.125 45.625 3
48 39.25 17.375 56.375 52.5 26.5 81.75 26.75 41.5 3
47.125 30.125 21.125 49.5 36.5 20.375 75.875 27.75 38.125 2
36.922 52.25 18.5 47.875 68.25 18.75 80 23.5 46.875 4
38 44.875 15.5 44.25 61.5 17.25 68.875 23 49.25 4
45.875 25.25 19.125 46.125 42.5 18.75 68.625 27.375 36.625 3
35.5 57.75 20.125 48.75 73.875 25.625 78.875 22.875 48.5 4
44.25 42.875 18.375 56.5 54.5 25 79.5 27.5 42.125 2
46.5 37.875 14.5 41.625 56.75 16.625 62.625 22.375 50.5 4
46.875 26.25 16.125 49.125 42.75 25 74.25 27.125 40.375 3
21.672 58.125 25.125 47.75 63.125 30.625 69.125 20.125 52.25 2
48.25 25.375 18.125 52.375 49.75 26.25 75.875 27.75 41.25 3
49.75 40.875 19.875 52.75 57.625 23 77.75 26.625 42.375 3
50.625 46.625 19.625 50.875 64.625 23.25 75 26.25 41.25 2
37.422 53 18.25 48.75 68.75 19.5 81.875 24.25 46.875 4
44.375 20.625 20.25 44.75 29.375 17.375 68.75 23.75 35.5 2
21.219 53.375 18.875 46.125 61.625 28.875 69 18.25 47.75 1
30.063 54.25 21.875 45.25 91.625 27.625 69 22 45.125 3
39.172 44 17.25 39.5 67 16.625 68.625 20.875 45.5 4
44.875 26.125 19.625 47.875 43.25 18.5 68 27.25 35 3
21.063 52.5 19.125 47.25 62.25 29.875 68.875 18.125 47.25 1
28.281 50.875 21.25 41.875 78 31.625 70.75 21 42.75 2
22.438 54.25 20.375 42.5 62.5 28.375 65.25 18.5 44.625 1
40.75 36.5 14.875 38.625 55.125 15.625 61.25 21.625 48.25 3
29.281 52.625 22.25 43.75 77 33 73 21.625 45.125 2
24.672 53.375 20.625 41.625 60.875 29.375 64.125 19.75 46.5 1
39.25 57.625 21.125 50.625 72.625 23.25 78.75 24.125 47.25 4
40 44.625 16 40.25 62 17.125 67.375 21.125 49.25 4
28.172 50.625 21.5 42.5 70.125 31.625 71.375 22.375 46 2
25.672 53.625 23.125 44.5 64 29.125 65.5 21.375 48.875 1
34.25 57.125 21.5 47 73.375 25 77.25 22.75 48.5 4
29.172 52.625 22.125 43.875 75.75 33.125 73 21.375 44.75 2
52.625 27 15.75 36.5 43.75 14.75 62 26 40.25 4
52 29.75 15.125 37 42.375 15.375 62 25.5 40.5 4
39 58.25 20.625 52.5 71.5 21.625 83.625 24.625 47.875 4
43.875 44.5 19.125 57.5 50.875 29.375 83.5 26.625 44.5 3
58.875 35.875 16.125 44.5 44.125 18.125 64.375 27.625 50.75 5
60.375 33 16.5 40.25 44 17.875 61.75 27.625 46.5 5
21.5 53.625 20.125 42.625 63.625 28.25 65.625 18.125 43 1
48.25 25 14.5 46.375 40.375 25.75 75.5 27.125 40.5 3
38.25 55.5 19.5 48 69.625 21.5 81.25 22.375 45.5 4
31.063 54.5 21 45.125 91.375 28.5 67.75 21.5 44.375 3
30.781 54 22.125 45.875 92.625 28.125 69 22.5 45.25 3
43.875 23.375 14.75 40.25 50.875 16 66.25 24.5 35.875 2
44.875 24.5 20.375 44.625 43.625 18.75 67 27 34 3
38.828 40 13.125 40.75 51.375 18.375 65.375 22.375 46.5 3
39 46.25 15.25 41.25 60.25 17.375 67.25 21.625 48.375 4
26.828 51.5 22 40.25 63.75 30.375 67.375 20.75 42.75 1
20.391 52.5 19 45.125 61.625 29.25 67.5 18 46 1
51.922 34.625 14.75 43.125 45.375 18.125 64.75 25.875 49.75 5
52.125 42.125 19.125 53.125 57.75 27.375 81.25 26.375 43.25 3
38.578 39.875 13.25 41.625 57.625 18 65.25 22 46.25 3
45.25 25 16.5 37.375 49.875 16.375 64 25.375 39 3
58.625 35.125 15.75 45.375 38.625 19.625 65 27.375 49.625 5
48.5 29.25 20.5 50 36.25 20.625 74.625 27 38.625 3
20.781 55 24 45.375 61.625 29.875 66.375 20.125 49.5 2
42 46.125 16 45.25 63.375 18 70 23.375 51.25 4
25.828 52.125 21 40.75 64.25 30.375 65.75 19.875 45.25 1
45.5 42.25 17.875 56.625 57 27.125 81.75 26.75 42.25 3
26.5 50.875 20.5 39 63.125 29.875 65.375 19.75 43.125 1
38.75 57 21.5 50.25 72.5 23.625 78.875 24.625 47.625 4
27 51.25 22 40.375 63.875 30.25 69 20.625 42.75 1
30 51.75 22.25 43.375 77.375 33.125 73.875 22.25 45.75 2
41 45.375 16.125 44.25 61.75 18 69.75 24.25 49.875 4
46 42.75 18 56.375 52.625 25.5 79.75 27.625 42.375 2
46 38.875 16.375 57 50 22.5 81.625 26.125 39.875 2
41 43.5 17.125 40.125 63.125 17.375 66 20.875 46.625 4
28.109 50.875 20 42.625 86 26.5 70.5 21.625 44.125 2
50.25 33.25 13.75 43.125 47.125 17.375 64 24.625 49.875 5
36.172 58 20 51.125 70.75 24.125 80 23.5 47.875 4
36.5 52.25 18.625 48 68.5 18.875 80.875 24.125 46.875 4
46 39.25 16.125 59.25 51 23 81.5 27.375 39.75 2
22 57.125 25 48.125 63.75 31 69.625 20 53 2
28.5 50.5 21.625 42.875 69.625 30.875 71.5 22.25 44.625 2
26.063 49.875 20.75 40 62.625 29.625 64.75 19.625 41 1
27.563 51 22 40.625 64.625 30.25 68.5 20 43.5 1
45 27.5 15.625 35.375 43.375 16.5 63.875 21.625 37.625 3
57.375 33.5 16.5 43.25 34.5 18.875 62.5 26.875 48.625 5
33.5 57.75 19.75 47.375 73 25.375 78 23 49 4
45.875 46.75 19 58.625 55.5 30.5 87.25 25.5 42.75 2
27.172 51.375 19.875 40.375 80 26.625 67.125 21.625 41.75 2
45.875 37.25 15.875 54.5 47.75 24 80 27.5 39.25 3
49 34.5 13.75 41 47.625 16.25 63.125 24.875 48.625 4
56.828 35.75 16 43 45.875 17.75 62.25 27.25 49.875 5
40.172 41.125 15.125 42.375 63 17.625 67.5 22.5 47.875 4
35.719 57.75 21.25 46 79 26.125 71.125 22.125 45 4
46.375 39 16.5 57.625 49.875 22.625 81.625 26.875 40.125 2
19.563 50.125 18.625 46 61.25 29.75 66.5 16.875 48.75 1
