V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14
38.3518 0 18.1 0 0.693 5.453 100 1.4896 24 666 20.2 396.9 30.59 1
9.91655 0 18.1 0 0.693 5.852 77.8 1.5004 24 666 20.2 338.16 29.97 1
25.0461 0 18.1 0 0.693 5.987 100 1.5888 24 666 20.2 396.9 26.77 1
24.8017 0 18.1 0 0.693 5.349 96 1.7028 24 666 20.2 396.9 19.77 1
41.5292 0 18.1 0 0.693 5.531 85.4 1.6074 24 666 20.2 329.46 27.38 1
67.9208 0 18.1 0 0.693 5.683 100 1.4254 24 666 20.2 384.97 22.98 1
20.7162 0 18.1 0 0.659 4.138 100 1.1781 24 666 20.2 370.22 23.34 1
18.0846 0 18.1 0 0.679 6.434 100 1.8347 24 666 20.2 27.25 29.05 1
10.8342 0 18.1 0 0.679 6.782 90.8 1.8195 24 666 20.2 21.57 25.79 1
73.5341 0 18.1 0 0.679 5.957 100 1.8026 24 666 20.2 16.45 20.62 1
7.05042 0 18.1 0 0.614 6.103 85.1 2.0218 24 666 20.2 2.52 23.29 1
8.79212 0 18.1 0 0.584 5.565 70.6 2.0635 24 666 20.2 3.65 17.16 1
12.2472 0 18.1 0 0.584 5.837 59.7 1.9976 24 666 20.2 24.65 15.69 1
37.6619 0 18.1 0 0.679 6.202 78.7 1.8629 24 666 20.2 18.82 14.52 1
7.36711 0 18.1 0 0.679 6.193 78.1 1.9356 24 666 20.2 96.73 21.52 1
9.33889 0 18.1 0 0.679 6.38 95.6 1.9682 24 666 20.2 60.72 24.08 1
13.9134 0 18.1 0 0.713 6.208 95 2.2222 24 666 20.2 100.63 15.17 1
11.1604 0 18.1 0 0.74 6.629 94.6 2.1247 24 666 20.2 109.85 23.27 1
14.4208 0 18.1 0 0.74 6.461 93.3 2.0026 24 666 20.2 27.49 18.05 1
15.1772 0 18.1 0 0.74 6.152 100 1.9142 24 666 20.2 9.32 26.45 1
13.6781 0 18.1 0 0.74 5.935 87.9 1.8206 24 666 20.2 68.95 34.02 1
9.39063 0 18.1 0 0.74 5.627 93.9 1.8172 24 666 20.2 396.9 22.88 1
22.0511 0 18.1 0 0.74 5.818 92.4 1.8662 24 666 20.2 391.45 22.11 1
12.8023 0 18.1 0 0.74 5.854 96.6 1.8956 24 666 20.2 240.52 23.79 1
7.52601 0 18.1 0 0.713 6.417 98.3 2.185 24 666 20.2 304.21 19.31 1
6.71772 0 18.1 0 0.713 6.749 92.6 2.3236 24 666 20.2 0.32 17.44 1
8.20058 0 18.1 0 0.713 5.936 80.3 2.7792 24 666 20.2 3.5 16.94 1
8.05579 0 18.1 0 0.584 5.427 95.4 2.4298 24 666 20.2 352.58 18.14 1
6.39312 0 18.1 0 0.584 6.162 97.4 2.206 24 666 20.2 302.76 24.1 1
0.18337 0 27.74 0 0.609 5.414 98.3 1.7554 4 711 20.1 344.05 23.97 1
0.20746 0 27.74 0 0.609 5.093 98 1.8226 4 711 20.1 318.43 29.68 1
0.10574 0 27.74 0 0.609 5.983 98.8 1.8681 4 711 20.1 390.11 18.07 1
0.04741 0 11.93 0 0.573 6.03 80.8 2.505 1 273 21 396.9 7.88 1
0.08829 12.5 7.87 0 0.524 6.012 66.6 5.5605 5 311 15.2 395.6 12.43 2
0.21124 12.5 7.87 0 0.524 5.631 100 6.0821 5 311 15.2 386.63 29.93 2
0.17004 12.5 7.87 0 0.524 6.004 85.9 6.5921 5 311 15.2 386.71 17.1 2
0.22489 12.5 7.87 0 0.524 6.377 94.3 6.3467 5 311 15.2 392.52 20.45 2
0.09378 12.5 7.87 0 0.524 5.889 39 5.4509 5 311 15.2 390.5 15.71 2
0.62976 0 8.14 0 0.538 5.949 61.8 4.7075 4 307 21 396.9 8.26 2
0.63796 0 8.14 0 0.538 6.096 84.5 4.4619 4 307 21 380.02 10.26 2
0.62739 0 8.14 0 0.538 5.834 56.5 4.4986 4 307 21 395.62 8.47 2
0.7842 0 8.14 0 0.538 5.99 81.7 4.2579 4 307 21 386.75 14.67 2
0.7258 0 8.14 0 0.538 5.727 69.5 3.7965 4 307 21 390.95 11.28 2
1.23247 0 8.14 0 0.538 6.142 91.7 3.9769 4 307 21 396.9 18.72 2
0.98843 0 8.14 0 0.538 5.813 100 4.0952 4 307 21 394.54 19.88 2
0.75026 0 8.14 0 0.538 5.924 94.1 4.3996 4 307 21 394.33 16.3 2
0.67191 0 8.14 0 0.538 5.813 90.3 4.682 4 307 21 376.88 14.81 2
0.77299 0 8.14 0 0.538 6.495 94.4 4.4547 4 307 21 387.94 12.8 2
1.00245 0 8.14 0 0.538 6.674 87.3 4.239 4 307 21 380.23 11.98 2
1.35472 0 8.14 0 0.538 6.072 100 4.175 4 307 21 376.73 13.04 2
0.06417 0 5.96 0 0.499 5.933 68.2 3.3603 5 279 19.2 396.9 9.68 2
0.09744 0 5.96 0 0.499 5.841 61.4 3.3779 5 279 19.2 377.56 11.41 2
0.08014 0 5.96 0 0.499 5.85 41.5 3.9342 5 279 19.2 396.9 8.77 2
0.12269 0 6.91 0 0.448 6.069 40 5.7209 3 233 17.9 389.39 9.55 2
0.17142 0 6.91 0 0.448 5.682 33.8 5.1004 3 233 17.9 396.9 10.21 2
0.22927 0 6.91 0 0.448 6.03 85.5 5.6894 3 233 17.9 392.74 18.8 2
0.21977 0 6.91 0 0.448 5.602 62 6.0877 3 233 17.9 396.9 16.2 2
0.08873 21 5.64 0 0.439 5.963 45.7 6.8147 4 243 16.8 395.56 13.45 2
0.04337 21 5.64 0 0.439 6.115 63 6.8147 4 243 16.8 393.97 9.43 2
0.0136 75 4 0 0.41 5.888 47.6 7.3197 3 469 21.1 396.9 14.8 2
0.10328 25 5.13 0 0.453 5.927 47.2 6.932 8 284 19.7 396.9 9.22 2
0.17171 25 5.13 0 0.453 5.966 93.4 6.8185 8 284 19.7 378.08 14.44 2
0.11027 25 5.13 0 0.453 6.456 67.8 7.2255 8 284 19.7 396.9 6.73 2
0.05789 12.5 6.07 0 0.409 5.878 21.4 6.498 4 345 18.9 396.21 8.1 2
0.13554 12.5 6.07 0 0.409 5.594 36.8 6.498 4 345 18.9 396.9 13.09 2
0.12816 12.5 6.07 0 0.409 5.885 33 6.498 4 345 18.9 396.9 8.79 2
0.15876 0 10.81 0 0.413 5.961 17.5 5.2873 4 305 19.2 376.94 9.88 2
0.09164 0 10.81 0 0.413 6.065 7.8 5.2873 4 305 19.2 390.91 5.52 2
0.09512 0 12.83 0 0.437 6.286 45 4.5026 5 398 18.7 383.23 8.94 2
0.10153 0 12.83 0 0.437 6.279 74.5 4.0522 5 398 18.7 373.66 11.97 2
0.08707 0 12.83 0 0.437 6.14 45.8 4.0905 5 398 18.7 386.96 10.27 2
0.05646 0 12.83 0 0.437 6.232 53.7 5.0141 5 398 18.7 386.4 12.34 2
0.08387 0 12.83 0 0.437 5.874 36.6 4.5026 5 398 18.7 396.06 9.1 2
0.03551 25 4.86 0 0.426 6.167 46.7 5.4007 4 281 19 390.64 7.51 2
0.07151 0 4.49 0 0.449 6.121 56.8 3.7476 3 247 18.5 395.15 8.44 2
0.04684 0 3.41 0 0.489 6.417 66.1 3.0923 2 270 17.8 392.18 8.81 2
0.11504 0 2.89 0 0.445 6.163 69.6 3.4952 2 276 18 391.83 11.34 2
0.22876 0 8.56 0 0.52 6.405 85.4 2.7147 5 384 20.9 70.8 10.63 2
0.1396 0 8.56 0 0.52 6.167 90 2.421 5 384 20.9 392.69 12.33 2
0.13262 0 8.56 0 0.52 5.851 96.7 2.1069 5 384 20.9 394.05 16.47 2
0.1712 0 8.56 0 0.52 5.836 91.9 2.211 5 384 20.9 395.67 18.66 2
0.13117 0 8.56 0 0.52 6.127 85.2 2.1224 5 384 20.9 387.69 14.09 2
0.12802 0 8.56 0 0.52 6.474 97.1 2.4329 5 384 20.9 395.24 12.27 2
0.26363 0 8.56 0 0.52 6.229 91.2 2.5451 5 384 20.9 391.23 15.55 2
0.10084 0 10.01 0 0.547 6.715 81.6 2.6775 6 432 17.8 395.59 10.16 2
0.22212 0 10.01 0 0.547 6.092 95.4 2.548 6 432 17.8 396.9 17.09 2
0.17134 0 10.01 0 0.547 5.928 88.2 2.4631 6 432 17.8 344.91 15.76 2
0.13158 0 10.01 0 0.547 6.176 72.5 2.7301 6 432 17.8 393.3 12.04 2
0.15098 0 10.01 0 0.547 6.021 82.6 2.7474 6 432 17.8 394.51 10.3 2
0.13058 0 10.01 0 0.547 5.872 73.1 2.4775 6 432 17.8 338.63 15.37 2
0.14476 0 10.01 0 0.547 5.731 65.2 2.7592 6 432 17.8 391.5 13.61 2
0.06899 0 25.65 0 0.581 5.87 69.7 2.2577 2 188 19.1 389.15 14.37 2
0.07165 0 25.65 0 0.581 6.004 84.1 2.1974 2 188 19.1 377.67 14.27 2
0.09849 0 25.65 0 0.581 5.879 95.8 2.0063 2 188 19.1 379.38 17.58 2
0.16902 0 25.65 0 0.581 5.986 88.4 1.9929 2 188 19.1 385.02 14.81 2
0.38735 0 25.65 0 0.581 5.613 95.6 1.7572 2 188 19.1 359.29 27.26 2
0.25915 0 21.89 0 0.624 5.693 96 1.7883 4 437 21.2 392.11 17.19 2
0.32543 0 21.89 0 0.624 6.431 98.8 1.8125 4 437 21.2 396.9 15.39 2
0.88125 0 21.89 0 0.624 5.637 94.7 1.9799 4 437 21.2 396.9 18.34 2
0.34006 0 21.89 0 0.624 6.458 98.9 2.1185 4 437 21.2 395.04 12.6 2
0.59005 0 21.89 0 0.624 6.372 97.9 2.3274 4 437 21.2 385.76 11.12 2
0.32982 0 21.89 0 0.624 5.822 95.4 2.4699 4 437 21.2 388.69 15.03 2
0.55778 0 21.89 0 0.624 6.335 98.2 2.1107 4 437 21.2 394.67 16.96 2
0.32264 0 21.89 0 0.624 5.942 93.5 1.9669 4 437 21.2 378.25 16.9 2
0.35233 0 21.89 0 0.624 6.454 98.4 1.8498 4 437 21.2 394.08 14.59 2
0.54452 0 21.89 0 0.624 6.151 97.9 1.6687 4 437 21.2 396.9 18.46 2
2.33099 0 19.58 0 0.871 5.186 93.8 1.5296 5 403 14.7 356.99 28.32 2
1.12658 0 19.58 1 0.871 5.012 88 1.6102 5 403 14.7 343.28 12.12 2
2.24236 0 19.58 0 0.605 5.854 91.8 2.422 5 403 14.7 395.11 11.64 2
1.20742 0 19.58 0 0.605 5.875 94.6 2.4259 5 403 14.7 292.29 14.43 2
2.3139 0 19.58 0 0.605 5.88 97.3 2.3887 5 403 14.7 348.13 12.03 2
0.08447 0 4.05 0 0.51 5.859 68.7 2.7019 5 296 16.6 393.23 9.64 2
0.13642 0 10.59 0 0.489 5.891 22.3 3.9454 4 277 18.6 396.9 10.87 2
0.43571 0 10.59 1 0.489 5.344 100 3.875 4 277 18.6 396.9 23.09 2
0.17446 0 10.59 1 0.489 5.96 92.1 3.8771 4 277 18.6 393.25 17.27 2
0.21719 0 10.59 1 0.489 5.807 53.8 3.6526 4 277 18.6 390.94 16.03 2
0.11425 0 13.89 1 0.55 6.373 92.4 3.3633 5 276 16.4 393.74 10.5 2
0.40771 0 6.2 1 0.507 6.164 91.3 3.048 8 307 17.4 395.24 21.46 2
0.10612 30 4.93 0 0.428 6.095 65.1 6.3361 6 300 16.6 394.62 12.4 2
0.1029 30 4.93 0 0.428 6.358 52.9 7.0355 6 300 16.6 372.75 11.22 2
0.20608 22 5.86 0 0.431 5.593 76.5 7.9549 7 330 19.1 372.49 12.5 2
0.03548 80 3.64 0 0.392 5.876 19.1 9.2203 1 315 16.4 395.18 9.25 2
0.76162 20 3.97 0 0.647 5.56 62.8 1.9865 5 264 13 392.4 10.45 2
0.09065 20 6.96 1 0.464 5.92 61.5 3.9175 3 223 18.6 391.34 13.65 2
0.01096 55 2.25 0 0.389 6.453 31.9 7.3073 1 300 15.3 394.72 8.23 2
0.0459 52.5 5.32 0 0.405 6.315 45.6 7.3172 6 293 16.6 396.9 7.6 2
0.08199 0 13.92 0 0.437 6.009 42.3 5.5027 4 289 16 396.9 10.4 2
0.06466 70 2.24 0 0.4 6.345 20.1 7.8278 5 358 14.8 368.24 4.97 2
0.03537 34 6.09 0 0.433 6.59 40.4 5.4917 7 329 16.1 395.75 9.5 2
0.49298 0 9.9 0 0.544 6.635 82.5 3.3175 4 304 18.4 396.9 4.54 2
0.3494 0 9.9 0 0.544 5.972 76.7 3.1025 4 304 18.4 396.24 9.97 2
2.63548 0 9.9 0 0.544 4.973 37.8 2.5194 4 304 18.4 350.45 12.64 2
0.79041 0 9.9 0 0.544 6.122 52.8 2.6403 4 304 18.4 396.9 5.98 2
0.25356 0 9.9 0 0.544 5.705 77.7 3.945 4 304 18.4 396.42 11.5 2
0.31827 0 9.9 0 0.544 5.914 83.2 3.9986 4 304 18.4 390.7 18.33 2
0.24522 0 9.9 0 0.544 5.782 71.7 4.0317 4 304 18.4 396.9 15.94 2
0.47547 0 9.9 0 0.544 6.113 58.8 4.0019 4 304 18.4 396.23 12.73 2
0.28392 0 7.38 0 0.493 5.708 74.3 4.7211 5 287 19.6 391.13 11.74 2
0.30347 0 7.38 0 0.493 6.312 28.9 5.4159 5 287 19.6 396.9 6.15 2
0.06724 0 3.24 0 0.46 6.333 17.2 5.2146 4 430 16.9 375.21 7.34 2
0.05083 0 5.19 0 0.515 6.316 38.1 6.4584 5 224 20.2 389.71 5.68 2
0.03041 0 5.19 0 0.515 5.895 59.6 5.615 5 224 20.2 394.81 10.56 2
0.03306 0 5.19 0 0.515 6.059 37.3 4.8122 5 224 20.2 396.14 8.51 2
0.05497 0 5.19 0 0.515 5.985 45.4 4.8122 5 224 20.2 396.9 9.74 2
0.06151 0 5.19 0 0.515 5.968 58.5 4.8122 5 224 20.2 396.9 9.29 2
0.02498 0 1.89 0 0.518 6.54 59.7 6.2669 1 422 15.9 389.96 8.65 2
0.06162 0 4.39 0 0.442 5.898 52.3 8.0136 3 352 18.8 364.61 12.67 2
0.06211 40 1.25 0 0.429 6.49 44.4 8.7921 1 335 19.7 396.9 5.98 2
0.04301 80 1.91 0 0.413 5.663 21.9 10.5857 4 334 22 382.8 8.05 2
0.10659 80 1.91 0 0.413 5.936 19.5 10.5857 4 334 22 376.04 5.57 2
8.98296 0 18.1 1 0.77 6.212 97.4 2.1222 24 666 20.2 377.73 17.6 2
5.20177 0 18.1 1 0.77 6.127 83.4 2.7227 24 666 20.2 395.43 11.48 2
4.26131 0 18.1 0 0.77 6.112 81.3 2.5091 24 666 20.2 390.74 12.67 2
3.67822 0 18.1 0 0.77 5.362 96.2 2.1036 24 666 20.2 380.79 10.19 2
4.22239 0 18.1 1 0.77 5.803 89 1.9047 24 666 20.2 353.04 14.64 2
3.69695 0 18.1 0 0.718 4.963 91.4 1.7523 24 666 20.2 316.03 14 2
19.6091 0 18.1 0 0.671 7.313 97.9 1.3163 24 666 20.2 396.9 13.44 2
7.40389 0 18.1 0 0.597 5.617 97.9 1.4547 24 666 20.2 314.64 26.4 2
51.1358 0 18.1 0 0.597 5.757 100 1.413 24 666 20.2 2.6 10.11 2
18.811 0 18.1 0 0.597 4.628 100 1.5539 24 666 20.2 28.79 34.37 2
28.6558 0 18.1 0 0.597 5.155 100 1.5894 24 666 20.2 210.97 20.08 2
11.0874 0 18.1 0 0.718 6.411 100 1.8589 24 666 20.2 318.75 15.02 2
7.02259 0 18.1 0 0.718 6.006 95.3 1.8746 24 666 20.2 319.98 15.7 2
12.0482 0 18.1 0 0.614 5.648 87.6 1.9512 24 666 20.2 291.55 14.1 2
8.49213 0 18.1 0 0.584 6.348 86.1 2.0527 24 666 20.2 83.45 17.64 2
5.58107 0 18.1 0 0.713 6.436 87.9 2.3158 24 666 20.2 100.19 16.22 2
9.72418 0 18.1 0 0.74 6.406 97.2 2.0651 24 666 20.2 385.96 19.52 2
5.66637 0 18.1 0 0.74 6.219 100 2.0048 24 666 20.2 395.69 16.59 2
9.96654 0 18.1 0 0.74 6.485 100 1.9784 24 666 20.2 386.73 18.85 2
9.32909 0 18.1 0 0.713 6.185 98.7 2.2616 24 666 20.2 396.9 18.13 2
5.44114 0 18.1 0 0.713 6.655 98.2 2.3552 24 666 20.2 355.29 17.73 2
5.09017 0 18.1 0 0.713 6.297 91.8 2.3682 24 666 20.2 385.09 17.27 2
8.24809 0 18.1 0 0.713 7.393 99.3 2.4527 24 666 20.2 375.87 16.74 2
7.75223 0 18.1 0 0.713 6.301 83.7 2.7831 24 666 20.2 272.21 16.23 2
4.81213 0 18.1 0 0.713 6.701 90 2.5975 24 666 20.2 255.23 16.42 2
3.69311 0 18.1 0 0.713 6.376 88.4 2.5671 24 666 20.2 391.43 14.65 2
6.65492 0 18.1 0 0.713 6.317 83 2.7344 24 666 20.2 396.9 13.99 2
3.77498 0 18.1 0 0.655 5.952 84.7 2.8715 24 666 20.2 22.01 17.15 2
4.42228 0 18.1 0 0.584 6.003 94.5 2.5403 24 666 20.2 331.29 21.32 2
15.5757 0 18.1 0 0.58 5.926 71 2.9084 24 666 20.2 368.74 18.13 2
13.0751 0 18.1 0 0.58 5.713 56.7 2.8237 24 666 20.2 396.9 14.76 2
4.34879 0 18.1 0 0.58 6.167 84 3.0334 24 666 20.2 396.9 16.29 2
4.03841 0 18.1 0 0.532 6.229 90.7 3.0993 24 666 20.2 395.33 12.87 2
4.87141 0 18.1 0 0.614 6.484 93.6 2.3053 24 666 20.2 396.21 18.68 2
10.233 0 18.1 0 0.614 6.185 96.7 2.1705 24 666 20.2 379.7 18.03 2
14.3337 0 18.1 0 0.614 6.229 88 1.9512 24 666 20.2 383.32 13.11 2
2.81838 0 18.1 0 0.532 5.762 40.3 4.0983 24 666 20.2 392.92 10.42 2
4.83567 0 18.1 0 0.583 5.905 53.2 3.1523 24 666 20.2 388.22 11.45 2
0.2896 0 9.69 0 0.585 5.39 72.9 2.7986 6 391 19.2 396.9 21.14 2
0.26838 0 9.69 0 0.585 5.794 70.6 2.8927 6 391 19.2 396.9 14.1 2
0.23912 0 9.69 0 0.585 6.019 65.3 2.4091 6 391 19.2 396.9 12.92 2
0.17783 0 9.69 0 0.585 5.569 73.5 2.3999 6 391 19.2 395.77 15.1 2
0.22438 0 9.69 0 0.585 6.027 79.7 2.4982 6 391 19.2 396.9 14.33 2
0.04527 0 11.93 0 0.573 6.12 76.7 2.2875 1 273 21 396.9 9.08 2
0.10959 0 11.93 0 0.573 6.794 89.3 2.3889 1 273 21 393.45 6.48 2
0.00632 18 2.31 0 0.538 6.575 65.2 4.09 1 296 15.3 396.9 4.98 3
0.02985 0 2.18 0 0.458 6.43 58.7 6.0622 3 222 18.7 394.12 5.21 3
0.14455 12.5 7.87 0 0.524 6.172 96.1 5.9505 5 311 15.2 396.9 19.15 3
1.05393 0 8.14 0 0.538 5.935 29.3 4.4986 4 307 21 386.85 6.58 3
0.17505 0 5.96 0 0.499 5.966 30.2 3.8473 5 279 19.2 393.43 10.13 3
0.02763 75 2.95 0 0.428 6.595 21.8 5.4011 3 252 18.3 395.63 4.32 3
0.12744 0 6.91 0 0.448 6.77 2.9 5.7209 3 233 17.9 385.41 4.84 3
0.15936 0 6.91 0 0.448 6.211 6.5 5.7209 3 233 17.9 394.46 7.44 3
0.0536 21 5.64 0 0.439 6.511 21.1 6.8147 4 243 16.8 396.9 5.28 3
0.02055 85 0.74 0 0.41 6.383 35.7 9.1876 2 313 17.3 396.9 5.77 3
0.01432 100 1.32 0 0.411 6.816 40.5 8.3248 5 256 15.1 392.9 3.95 3
0.1265 25 5.13 0 0.453 6.762 43.4 7.9809 8 284 19.7 395.58 9.5 3
0.03584 80 3.37 0 0.398 6.29 17.8 6.6115 4 337 16.1 396.9 4.67 3
0.08826 0 10.81 0 0.413 6.417 6.6 5.2873 4 305 19.2 383.73 6.72 3
0.19539 0 10.81 0 0.413 6.245 6.2 5.2873 4 305 19.2 377.17 7.54 3
0.04113 25 4.86 0 0.426 6.727 33.5 5.4007 4 281 19 396.9 5.29 3
0.04462 25 4.86 0 0.426 6.619 70.4 5.4007 4 281 19 395.63 7.22 3
0.03659 25 4.86 0 0.426 6.302 32.2 5.4007 4 281 19 396.9 6.72 3
0.05059 0 4.49 0 0.449 6.389 48 4.7794 3 247 18.5 396.9 9.62 3
0.0566 0 3.41 0 0.489 7.007 86.3 3.4217 2 270 17.8 396.9 5.5 3
0.05302 0 3.41 0 0.489 7.079 63.1 3.4145 2 270 17.8 396.06 5.7 3
0.14866 0 8.56 0 0.52 6.727 79.9 2.7778 5 384 20.9 394.76 9.42 3
0.11432 0 8.56 0 0.52 6.781 71.3 2.8561 5 384 20.9 395.58 7.67 3
1.34284 0 19.58 0 0.605 6.066 100 1.7573 5 403 14.7 353.89 6.43 3
1.27346 0 19.58 1 0.605 6.25 92.6 1.7984 5 403 14.7 338.92 5.5 3
2.924 0 19.58 0 0.605 6.101 93 2.2834 5 403 14.7 240.16 9.81 3
0.13914 0 4.05 0 0.51 5.572 88.5 2.5961 5 296 16.6 396.9 14.69 3
0.06664 0 4.05 0 0.51 6.546 33.1 3.1323 5 296 16.6 390.96 5.33 3
0.05425 0 4.05 0 0.51 6.315 73.4 3.3175 5 296 16.6 395.6 6.29 3
0.08308 0 2.46 0 0.488 5.604 89.8 2.9879 3 193 17.8 391 13.98 3
0.06047 0 2.46 0 0.488 6.153 68.8 3.2797 3 193 17.8 387.11 13.15 3
0.12579 45 3.44 0 0.437 6.556 29.1 4.5667 5 398 15.2 382.84 4.56 3
0.02187 60 2.93 0 0.401 6.8 9.9 6.2196 1 265 15.6 393.37 5.03 3
0.03445 82.5 2.03 0 0.415 6.162 38.4 6.27 2 348 14.7 393.77 7.43 3
0.13587 0 10.59 1 0.489 6.064 59.1 4.2392 4 277 18.6 381.32 14.66 3
0.28955 0 10.59 0 0.489 5.412 9.8 3.5875 4 277 18.6 348.93 29.55 3
0.19802 0 10.59 0 0.489 6.182 42.4 3.9454 4 277 18.6 393.63 9.47 3
0.0456 0 13.89 1 0.55 5.888 56 3.1121 5 276 16.4 392.8 13.51 3
0.07013 0 13.89 0 0.55 6.642 85.1 3.4211 5 276 16.4 392.78 9.69 3
0.35809 0 6.2 1 0.507 6.951 88.5 2.8617 8 307 17.4 391.7 9.71 3
0.6147 0 6.2 0 0.507 6.618 80.8 3.2721 8 307 17.4 396.9 7.6 3
0.41238 0 6.2 0 0.504 7.163 79.9 3.2157 8 307 17.4 372.08 6.36 3
0.44178 0 6.2 0 0.504 6.552 21.4 3.3751 8 307 17.4 380.34 3.76 3
0.537 0 6.2 0 0.504 5.981 68.1 3.6715 8 307 17.4 378.35 11.65 3
0.44791 0 6.2 1 0.507 6.726 66.5 3.6519 8 307 17.4 360.2 8.05 3
0.33045 0 6.2 0 0.507 6.086 61.5 3.6519 8 307 17.4 376.75 10.88 3
0.51183 0 6.2 0 0.507 7.358 71.6 4.148 8 307 17.4 390.07 4.73 3
0.08244 30 4.93 0 0.428 6.481 18.5 6.1899 6 300 16.6 379.41 6.36 3
0.09252 30 4.93 0 0.428 6.606 42.2 6.1899 6 300 16.6 383.78 7.37 3
0.12757 30 4.93 0 0.428 6.393 7.8 7.0355 6 300 16.6 374.71 5.19 3
0.33983 22 5.86 0 0.431 6.108 34.9 8.0555 7 330 19.1 390.18 9.16 3
0.16439 22 5.86 0 0.431 6.433 49.1 7.8265 7 330 19.1 374.71 9.52 3
0.19073 22 5.86 0 0.431 6.718 17.5 7.8265 7 330 19.1 393.74 6.56 3
0.1403 22 5.86 0 0.431 6.487 13 7.3967 7 330 19.1 396.28 5.9 3
0.08221 22 5.86 0 0.431 6.957 6.8 8.9067 7 330 19.1 386.09 3.53 3
0.65665 20 3.97 0 0.647 6.842 100 2.0107 5 264 13 391.93 6.9 3
0.82526 20 3.97 0 0.647 7.327 94.5 2.0788 5 264 13 393.42 11.25 3
0.7857 20 3.97 0 0.647 7.014 84.6 2.1329 5 264 13 384.07 14.79 3
0.16211 20 6.96 0 0.464 6.24 16.3 4.429 3 223 18.6 396.9 6.59 3
0.1146 20 6.96 0 0.464 6.538 58.7 3.9175 3 223 18.6 394.96 7.73 3
0.09604 40 6.41 0 0.447 6.854 42.8 4.2673 4 254 17.6 396.9 2.98 3
0.07978 40 6.41 0 0.447 6.482 32.1 4.1403 4 254 17.6 396.9 7.19 3
0.04297 52.5 5.32 0 0.405 6.565 22.9 7.3172 6 293 16.6 371.72 9.51 3
0.03502 80 4.95 0 0.411 6.861 27.9 5.1167 4 245 19.2 396.9 3.33 3
0.03615 80 4.95 0 0.411 6.63 23.4 5.1167 4 245 19.2 396.9 4.7 3
0.08265 0 13.92 0 0.437 6.127 18.4 5.5027 4 289 16 396.9 8.58 3
0.12932 0 13.92 0 0.437 6.678 31.1 5.9604 4 289 16 396.9 6.27 3
0.05561 70 2.24 0 0.4 7.041 10 7.8278 5 358 14.8 371.58 4.74 3
0.05479 33 2.18 0 0.472 6.616 58.1 3.37 7 222 18.4 393.36 8.93 3
0.04932 33 2.18 0 0.472 6.849 70.3 3.1827 7 222 18.4 396.9 7.53 3
0.40202 0 9.9 0 0.544 6.382 67.2 3.5325 4 304 18.4 395.21 10.36 3
0.1676 0 7.38 0 0.493 6.426 52.3 4.5404 5 287 19.6 396.9 7.2 3
0.18159 0 7.38 0 0.493 6.376 54.3 4.5404 5 287 19.6 396.9 6.87 3
0.34109 0 7.38 0 0.493 6.415 40.1 4.7211 5 287 19.6 396.9 6.12 3
0.02543 55 3.78 0 0.484 6.696 56.4 5.7321 5 370 17.6 396.9 7.18 3
0.03049 55 3.78 0 0.484 6.874 28.1 6.4654 5 370 17.6 387.97 4.61 3
