V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11
0 1 0 0.55 0.47 0.15 0.897 0.377 0.184 0.29 3
1 0 0 0.63 0.51 0.19 1.4985 0.4125 0.3075 0.545 6
1 0 0 0.495 0.4 0.14 0.7775 0.2015 0.18 0.25 5
1 0 0 0.72 0.545 0.195 1.7475 0.8215 0.383 0.4705 4
1 0 0 0.615 0.475 0.155 1.0735 0.4375 0.2585 0.31 4
0 0 1 0.435 0.335 0.11 0.334 0.1355 0.0775 0.0965 3
1 0 0 0.575 0.465 0.12 1.0535 0.516 0.2185 0.235 3
0 0 1 0.505 0.4 0.125 0.5605 0.2255 0.1435 0.17 3
0 0 1 0.52 0.4 0.11 0.597 0.2935 0.1155 0.16 3
1 0 0 0.57 0.42 0.155 1.008 0.377 0.193 0.34 5
0 1 0 0.53 0.395 0.115 0.5685 0.249 0.1375 0.161 3
0 1 0 0.385 0.305 0.125 0.314 0.146 0.0555 0.08 4
1 0 0 0.55 0.405 0.15 0.9235 0.412 0.2135 0.24 3
0 0 1 0.22 0.16 0.05 0.049 0.0215 0.01 0.015 2
1 0 0 0.485 0.36 0.13 0.5415 0.2595 0.096 0.16 4
0 1 0 0.335 0.22 0.07 0.17 0.076 0.0365 0.05 2
1 0 0 0.63 0.485 0.165 1.233 0.6565 0.2315 0.3035 4
0 0 1 0.435 0.335 0.095 0.298 0.109 0.058 0.115 3
1 0 0 0.64 0.485 0.16 1.006 0.456 0.2245 0.2835 3
1 0 0 0.475 0.355 0.12 0.48 0.234 0.1015 0.135 3
0 0 1 0.405 0.3 0.09 0.2885 0.138 0.0635 0.0765 2
0 1 0 0.51 0.37 0.21 1.183 0.508 0.292 0.343 3
0 0 1 0.46 0.34 0.1 0.386 0.1805 0.0875 0.0965 3
0 1 0 0.475 0.39 0.12 0.5305 0.2135 0.1155 0.17 4
0 0 1 0.37 0.285 0.095 0.226 0.1135 0.0515 0.0675 3
1 0 0 0.465 0.36 0.11 0.4955 0.2665 0.085 0.121 3
0 0 1 0.26 0.205 0.07 0.097 0.0415 0.019 0.0305 2
0 0 1 0.365 0.27 0.085 0.196 0.0825 0.0375 0.06 3
0 0 1 0.42 0.325 0.11 0.325 0.1245 0.0755 0.1025 3
0 0 1 0.32 0.245 0.08 0.1585 0.0635 0.0325 0.05 5
0 0 1 0.455 0.37 0.11 0.514 0.2385 0.1235 0.126 3
1 0 0 0.585 0.46 0.185 0.922 0.3635 0.213 0.285 4
0 1 0 0.56 0.43 0.125 0.8025 0.313 0.1715 0.263 5
1 0 0 0.54 0.425 0.12 0.817 0.2945 0.153 0.195 4
0 0 1 0.435 0.325 0.11 0.367 0.1595 0.08 0.105 2
1 0 0 0.775 0.57 0.22 2.032 0.735 0.4755 0.6585 6
0 1 0 0.565 0.46 0.15 0.8765 0.3455 0.1925 0.275 4
0 0 1 0.39 0.28 0.09 0.215 0.0845 0.034 0.079 3
1 0 0 0.7 0.55 0.2 1.523 0.693 0.306 0.4405 5
0 0 1 0.38 0.275 0.095 0.2425 0.106 0.0485 0.21 2
1 0 0 0.575 0.445 0.14 0.737 0.325 0.1405 0.237 4
0 1 0 0.495 0.385 0.13 0.6905 0.3125 0.179 0.175 4
1 0 0 0.56 0.42 0.15 0.8755 0.44 0.1965 0.2315 3
0 0 1 0.275 0.2 0.07 0.096 0.037 0.0225 0.03 2
1 0 0 0.64 0.495 0.165 1.307 0.678 0.292 0.266 4
1 0 0 0.5 0.415 0.165 0.6885 0.249 0.138 0.25 5
1 0 0 0.595 0.475 0.165 1.213 0.621 0.2435 0.274 3
0 1 0 0.67 0.52 0.19 1.32 0.5235 0.3095 0.4275 5
0 0 1 0.425 0.31 0.095 0.3505 0.1645 0.071 0.1 3
0 1 0 0.6 0.465 0.155 1.04 0.4755 0.25 0.28 4
1 0 0 0.58 0.47 0.165 0.927 0.3215 0.1985 0.315 4
0 1 0 0.53 0.43 0.15 0.741 0.325 0.1855 0.196 3
0 1 0 0.61 0.47 0.16 1.017 0.426 0.2255 0.32 4
0 1 0 0.605 0.48 0.14 0.991 0.4735 0.2345 0.24 3
1 0 0 0.52 0.425 0.155 0.7735 0.297 0.123 0.255 6
0 1 0 0.645 0.51 0.155 1.129 0.5015 0.24 0.342 4
0 1 0 0.47 0.355 0.13 0.5465 0.2005 0.126 0.185 5
1 0 0 0.47 0.365 0.12 0.612 0.327 0.15 0.14 3
1 0 0 0.59 0.46 0.145 0.929 0.38 0.24 0.255 4
0 1 0 0.555 0.44 0.155 1.016 0.4935 0.1855 0.263 4
0 1 0 0.75 0.565 0.215 1.938 0.7735 0.4825 0.575 4
0 1 0 0.66 0.525 0.19 1.67 0.6525 0.4875 0.49 4
0 1 0 0.605 0.475 0.165 1.056 0.433 0.2195 0.357 3
0 1 0 0.45 0.325 0.135 0.438 0.1805 0.1165 0.11 3
0 1 0 0.49 0.36 0.11 0.5005 0.161 0.107 0.195 6
0 1 0 0.44 0.34 0.105 0.364 0.148 0.0805 0.1175 3
1 0 0 0.61 0.5 0.165 1.2715 0.4915 0.185 0.49 4
0 0 1 0.4 0.32 0.095 0.348 0.194 0.053 0.087 2
0 0 1 0.385 0.28 0.085 0.2175 0.097 0.038 0.067 3
0 1 0 0.505 0.475 0.16 1.1155 0.509 0.239 0.3065 3
1 0 0 0.66 0.52 0.19 1.558 0.755 0.298 0.4 4
1 0 0 0.545 0.425 0.135 0.8445 0.373 0.21 0.235 4
1 0 0 0.55 0.43 0.13 0.8395 0.3155 0.1955 0.2405 4
0 1 0 0.58 0.475 0.155 0.974 0.4305 0.23 0.285 4
0 0 1 0.34 0.265 0.08 0.2015 0.09 0.0475 0.055 2
0 0 1 0.545 0.43 0.15 0.742 0.3525 0.158 0.208 4
1 0 0 0.61 0.47 0.155 1.0325 0.497 0.2175 0.2785 3
0 1 0 0.615 0.475 0.145 0.9525 0.3915 0.195 0.32 3
1 0 0 0.605 0.49 0.18 1.167 0.457 0.29 0.3745 3
0 0 1 0.39 0.3 0.095 0.3265 0.1665 0.0575 0.089 3
0 0 1 0.495 0.375 0.14 0.494 0.181 0.0975 0.191 3
0 0 1 0.38 0.28 0.085 0.2735 0.115 0.061 0.085 2
1 0 0 0.44 0.325 0.115 0.39 0.163 0.087 0.113 3
0 0 1 0.515 0.385 0.125 0.6115 0.3175 0.1265 0.15 3
1 0 0 0.545 0.45 0.16 0.8615 0.2925 0.1545 0.365 6
0 0 1 0.445 0.345 0.13 0.4075 0.1365 0.0645 0.18 4
1 0 0 0.585 0.475 0.15 1.065 0.5315 0.199 0.2885 4
0 0 1 0.385 0.29 0.085 0.2505 0.112 0.061 0.08 3
0 0 1 0.63 0.505 0.18 1.272 0.6025 0.295 0.315 4
0 0 1 0.55 0.435 0.14 0.7995 0.295 0.1905 0.238 4
1 0 0 0.55 0.435 0.14 0.7625 0.327 0.1685 0.259 4
0 1 0 0.43 0.35 0.09 0.397 0.1575 0.089 0.12 3
1 0 0 0.735 0.59 0.225 1.756 0.637 0.3405 0.58 8
0 0 1 0.45 0.35 0.14 0.474 0.21 0.109 0.1275 6
0 1 0 0.705 0.57 0.185 1.761 0.747 0.3725 0.488 4
1 0 0 0.315 0.25 0.09 0.203 0.0615 0.037 0.0795 4
1 0 0 0.645 0.51 0.195 1.226 0.5885 0.2215 0.3745 4
0 1 0 0.59 0.415 0.15 0.8805 0.3645 0.234 0.235 4
0 1 0 0.635 0.49 0.17 1.2615 0.5385 0.2665 0.38 3
1 0 0 0.53 0.405 0.125 0.6515 0.2715 0.1605 0.186 3
0 0 1 0.51 0.375 0.15 0.8415 0.3845 0.156 0.255 4
0 1 0 0.57 0.45 0.18 0.908 0.4015 0.217 0.255 3
0 0 1 0.365 0.27 0.075 0.2215 0.095 0.0445 0.07 2
1 0 0 0.66 0.525 0.18 1.478 0.5815 0.381 0.372 4
0 0 1 0.44 0.365 0.11 0.4465 0.213 0.089 0.1135 3
1 0 0 0.59 0.455 0.145 1.073 0.475 0.19 0.285 5
0 0 1 0.53 0.425 0.13 0.7675 0.419 0.1205 0.21 3
0 1 0 0.675 0.55 0.19 1.551 0.7105 0.3685 0.412 5
0 0 1 0.37 0.28 0.09 0.2565 0.1255 0.0645 0.0645 2
1 0 0 0.335 0.235 0.085 0.1545 0.066 0.0345 0.045 2
0 0 1 0.495 0.38 0.145 0.515 0.175 0.098 0.212 5
1 0 0 0.65 0.52 0.17 1.3655 0.6155 0.2885 0.36 4
0 1 0 0.655 0.51 0.155 1.2895 0.5345 0.2855 0.41 4
0 0 1 0.605 0.495 0.145 1.054 0.369 0.2255 0.36 4
0 1 0 0.36 0.265 0.09 0.2065 0.078 0.057 0.06 3
0 0 1 0.41 0.325 0.105 0.361 0.1605 0.0665 0.103 3
1 0 0 0.585 0.45 0.15 1.047 0.4315 0.276 0.315 5
0 0 1 0.13 0.095 0.035 0.0105 0.005 0.0065 0.0035 2
0 1 0 0.405 0.325 0.11 0.3555 0.151 0.063 0.117 3
0 1 0 0.615 0.475 0.175 1.194 0.559 0.259 0.3165 4
1 0 0 0.525 0.41 0.13 0.99 0.3865 0.243 0.295 5
0 0 1 0.435 0.34 0.12 0.396 0.1775 0.081 0.125 3
1 0 0 0.55 0.42 0.16 1.3405 0.6325 0.311 0.344 4
1 0 0 0.525 0.405 0.16 0.792 0.316 0.1455 0.28 5
0 0 1 0.45 0.35 0.145 0.525 0.2085 0.1 0.1655 5
0 1 0 0.7 0.585 0.185 1.8075 0.7055 0.3215 0.475 10
0 1 0 0.5 0.395 0.15 0.7145 0.3235 0.173 0.195 3
1 0 0 0.485 0.39 0.085 0.6435 0.2945 0.103 0.198 3
1 0 0 0.495 0.4 0.12 0.6605 0.2605 0.161 0.19 5
1 0 0 0.58 0.455 0.13 0.852 0.41 0.1725 0.225 3
0 1 0 0.385 0.305 0.105 0.3315 0.1365 0.0745 0.1 3
1 0 0 0.175 0.125 0.04 0.024 0.0095 0.006 0.005 2
0 0 1 0.525 0.405 0.15 0.795 0.3075 0.205 0.255 5
1 0 0 0.625 0.495 0.155 1.0485 0.487 0.212 0.3215 4
0 0 1 0.58 0.425 0.145 0.83 0.379 0.1605 0.2575 4
1 0 0 0.655 0.525 0.16 1.46 0.686 0.311 0.405 4
1 0 0 0.56 0.44 0.16 1.1115 0.5035 0.2785 0.26 4
1 0 0 0.73 0.585 0.225 2.2305 1.2395 0.422 0.563 5
0 1 0 0.59 0.465 0.17 1.0425 0.4635 0.24 0.27 4
0 0 1 0.53 0.415 0.13 0.694 0.3905 0.111 0.167 3
1 0 0 0.49 0.395 0.14 0.549 0.2215 0.1275 0.15 4
0 1 0 0.65 0.51 0.17 1.567 0.7245 0.349 0.391 4
0 0 1 0.415 0.32 0.11 0.3735 0.175 0.0755 0.109 3
1 0 0 0.505 0.4 0.15 0.775 0.3445 0.157 0.185 3
0 1 0 0.52 0.405 0.145 0.829 0.3535 0.1685 0.205 5
1 0 0 0.62 0.5 0.18 1.3915 0.726 0.2795 0.332 4
1 0 0 0.7 0.575 0.19 2.273 1.095 0.418 0.638 4
0 1 0 0.55 0.415 0.18 1.1655 0.502 0.301 0.311 3
0 1 0 0.57 0.455 0.15 1.107 0.54 0.255 0.27 3
1 0 0 0.51 0.415 0.14 0.8185 0.3025 0.2155 0.235 6
0 0 1 0.495 0.355 0.12 0.4965 0.214 0.1045 0.1495 3
0 1 0 0.67 0.505 0.175 1.0145 0.4375 0.271 0.3745 4
1 0 0 0.665 0.54 0.175 1.347 0.4955 0.254 0.415 6
0 0 1 0.55 0.465 0.15 0.936 0.481 0.174 0.2435 3
1 0 0 0.56 0.455 0.165 0.86 0.4015 0.1695 0.245 4
0 0 1 0.315 0.245 0.085 0.1435 0.053 0.0475 0.05 3
1 0 0 0.59 0.475 0.165 1.077 0.4545 0.244 0.3095 3
0 1 0 0.56 0.435 0.125 0.8775 0.3345 0.2145 0.29 5
0 1 0 0.58 0.46 0.18 1.0515 0.4095 0.2595 0.276 3
0 0 1 0.5 0.37 0.12 0.5445 0.249 0.1065 0.152 3
0 1 0 0.73 0.55 0.205 1.908 0.5415 0.3565 0.5965 5
0 0 1 0.38 0.28 0.095 0.2885 0.165 0.0435 0.067 3
0 0 1 0.31 0.235 0.07 0.151 0.063 0.0405 0.045 2
0 0 1 0.47 0.35 0.13 0.466 0.1845 0.099 0.145 4
1 0 0 0.625 0.495 0.175 1.2075 0.531 0.281 0.3525 4
1 0 0 0.59 0.405 0.15 0.853 0.326 0.2615 0.245 3
1 0 0 0.605 0.47 0.18 1.1405 0.3755 0.2805 0.385 5
1 0 0 0.33 0.235 0.09 0.163 0.0615 0.034 0.055 4
0 1 0 0.475 0.375 0.125 0.5785 0.2775 0.085 0.155 4
0 1 0 0.585 0.455 0.13 0.8755 0.411 0.2065 0.225 3
0 0 1 0.465 0.37 0.11 0.445 0.1635 0.096 0.166 3
1 0 0 0.345 0.27 0.095 0.197 0.0665 0.05 0.07 3
0 0 1 0.36 0.28 0.105 0.199 0.0695 0.045 0.08 3
0 0 1 0.415 0.31 0.105 0.3595 0.167 0.083 0.0915 2
0 0 1 0.295 0.225 0.08 0.124 0.0485 0.032 0.04 3
0 0 1 0.455 0.335 0.135 0.501 0.274 0.0995 0.1065 3
0 0 1 0.175 0.13 0.055 0.0315 0.0105 0.0065 0.0125 2
0 1 0 0.7 0.575 0.205 1.773 0.605 0.447 0.538 5
1 0 0 0.51 0.4 0.14 0.6515 0.2455 0.1665 0.185 4
0 1 0 0.59 0.475 0.16 1.1015 0.4775 0.2555 0.295 5
0 1 0 0.565 0.45 0.175 1.2365 0.5305 0.2455 0.308 4
0 0 1 0.47 0.355 0.125 0.499 0.21 0.0985 0.155 3
0 0 1 0.28 0.215 0.08 0.132 0.072 0.022 0.033 2
0 1 0 0.535 0.45 0.135 0.8075 0.322 0.181 0.25 5
0 1 0 0.635 0.495 0.015 1.1565 0.5115 0.308 0.2885 3
1 0 0 0.715 0.535 0.19 1.6755 0.889 0.313 0.42 4
1 0 0 0.59 0.44 0.15 0.8725 0.387 0.215 0.245 3
0 1 0 0.52 0.375 0.135 0.5375 0.221 0.117 0.17 3
0 0 1 0.625 0.46 0.16 1.2395 0.55 0.273 0.38 5
0 0 1 0.475 0.375 0.11 0.456 0.182 0.099 0.16 3
0 0 1 0.4 0.31 0.1 0.127 0.106 0.071 0.085 3
1 0 0 0.68 0.54 0.155 1.534 0.671 0.379 0.384 4
0 1 0 0.635 0.495 0.175 1.211 0.707 0.2725 0.323 3
0 1 0 0.665 0.53 0.18 1.491 0.6345 0.342 0.435 4
0 1 0 0.675 0.535 0.185 1.5575 0.7035 0.402 0.4 4
0 0 1 0.465 0.37 0.12 0.4365 0.188 0.0815 0.147 3
0 0 1 0.49 0.375 0.115 0.4615 0.204 0.0945 0.143 3
0 0 1 0.48 0.365 0.1 0.461 0.2205 0.0835 0.135 3
0 0 1 0.5 0.375 0.125 0.5695 0.259 0.124 0.157 3
1 0 0 0.675 0.54 0.175 1.5545 0.6645 0.278 0.512 4
1 0 0 0.45 0.355 0.12 0.3955 0.147 0.0765 0.145 3
0 0 1 0.32 0.205 0.08 0.181 0.088 0.034 0.0495 2
0 1 0 0.675 0.555 0.205 1.925 0.713 0.358 0.4535 5
0 1 0 0.605 0.48 0.175 1.1685 0.4815 0.2305 0.356 3
0 1 0 0.625 0.485 0.175 1.3745 0.7335 0.2715 0.332 3
1 0 0 0.54 0.41 0.145 0.989 0.2815 0.213 0.355 7
0 0 1 0.44 0.345 0.12 0.365 0.1655 0.083 0.11 3
0 0 1 0.475 0.36 0.11 0.4555 0.177 0.0965 0.145 3
0 0 1 0.18 0.135 0.08 0.033 0.0145 0.007 0.01 2
0 0 1 0.185 0.135 0.045 0.032 0.011 0.0065 0.01 2
0 1 0 0.43 0.34 0.11 0.382 0.154 0.0955 0.109 3
0 1 0 0.45 0.36 0.11 0.447 0.203 0.082 0.13 4
1 0 0 0.55 0.45 0.155 0.7895 0.343 0.159 0.25 4
0 1 0 0.39 0.29 0.125 0.3055 0.121 0.082 0.09 3
1 0 0 0.35 0.265 0.09 0.197 0.073 0.0365 0.077 3
0 1 0 0.505 0.375 0.115 0.5895 0.2635 0.12 0.167 4
1 0 0 0.67 0.52 0.19 1.6385 0.8115 0.369 0.391 3
1 0 0 0.6 0.48 0.09 1.05 0.457 0.2685 0.28 3
1 0 0 0.68 0.54 0.195 1.7825 0.5565 0.3235 0.4285 4
1 0 0 0.505 0.4 0.155 0.8415 0.2715 0.1775 0.285 4
1 0 0 0.625 0.5 0.13 1.082 0.5785 0.2045 0.25 3
1 0 0 0.38 0.29 0.12 0.283 0.1175 0.0655 0.085 3
0 0 1 0.375 0.28 0.08 0.2345 0.1125 0.0455 0.067 2
0 0 1 0.43 0.325 0.11 0.3675 0.1355 0.0935 0.12 5
1 0 0 0.575 0.45 0.165 0.9215 0.3275 0.225 0.256 4
1 0 0 0.465 0.355 0.12 0.5315 0.2725 0.097 0.1395 3
1 0 0 0.565 0.435 0.185 1.032 0.354 0.2045 0.31 7
0 0 1 0.385 0.3 0.09 0.247 0.1225 0.044 0.0675 2
0 0 1 0.42 0.305 0.11 0.28 0.094 0.0785 0.0955 3
0 0 1 0.235 0.18 0.06 0.058 0.022 0.0145 0.018 2
0 0 1 0.44 0.355 0.12 0.495 0.231 0.11 0.125 3
1 0 0 0.325 0.24 0.085 0.173 0.0795 0.038 0.05 3
0 0 1 0.55 0.435 0.125 0.741 0.348 0.1585 0.206 3
0 0 1 0.21 0.17 0.045 0.0475 0.019 0.011 0.013 2
0 1 0 0.735 0.565 0.225 2.037 0.87 0.5145 0.5675 5
0 1 0 0.53 0.425 0.13 0.717 0.2115 0.166 0.255 5
0 0 1 0.31 0.24 0.105 0.2885 0.118 0.065 0.083 2
0 1 0 0.66 0.475 0.18 1.3695 0.641 0.294 0.335 2
0 0 1 0.48 0.38 0.125 0.6245 0.3395 0.1085 0.1665 3
0 1 0 0.465 0.35 0.125 0.482 0.23 0.106 0.1095 2
0 0 1 0.42 0.33 0.1 0.352 0.1635 0.089 0.1 3
1 0 0 0.59 0.47 0.145 0.9235 0.4545 0.173 0.254 3
1 0 0 0.465 0.36 0.13 0.5265 0.2105 0.1185 0.165 4
0 0 1 0.46 0.345 0.105 0.415 0.187 0.087 0.11 3
0 0 1 0.215 0.155 0.06 0.0525 0.021 0.0165 0.015 2
1 0 0 0.49 0.355 0.155 0.981 0.465 0.2015 0.2505 3
0 0 1 0.56 0.445 0.165 1.0285 0.4535 0.253 0.275 4
0 0 1 0.605 0.47 0.145 0.8025 0.379 0.2265 0.22 3
0 0 1 0.595 0.43 0.165 0.9845 0.4525 0.207 0.2725 3
0 1 0 0.595 0.48 0.2 0.975 0.358 0.2035 0.34 5
0 1 0 0.58 0.46 0.185 1.017 0.3515 0.2 0.32 4
1 0 0 0.57 0.44 0.175 0.9415 0.3805 0.2285 0.283 3
0 1 0 0.4 0.305 0.16 0.368 0.173 0.0705 0.105 3
0 0 1 0.455 0.355 0.125 0.5325 0.225 0.126 0.1465 3
0 0 1 0.35 0.25 0.07 0.18 0.0655 0.048 0.054 2
0 0 1 0.58 0.42 0.14 0.701 0.3285 0.102 0.2255 3
1 0 0 0.615 0.455 0.13 0.9685 0.49 0.182 0.2655 4
0 0 1 0.375 0.275 0.095 0.2465 0.11 0.0415 0.0775 2
0 0 1 0.195 0.15 0.045 0.0375 0.018 0.006 0.011 1
1 0 0 0.535 0.435 0.15 0.717 0.3475 0.1445 0.194 3
0 1 0 0.36 0.265 0.09 0.2165 0.096 0.037 0.0735 4
0 1 0 0.495 0.38 0.12 0.573 0.2655 0.1285 0.144 3
0 0 1 0.37 0.275 0.1 0.2295 0.0885 0.0465 0.07 3
0 0 1 0.63 0.49 0.17 1.217 0.5515 0.212 0.31 4
1 0 0 0.745 0.565 0.215 1.931 0.896 0.4585 0.5 4
1 0 0 0.67 0.52 0.165 1.39 0.711 0.2865 0.3 4
0 0 1 0.565 0.435 0.155 0.782 0.2715 0.168 0.285 5
1 0 0 0.625 0.49 0.165 1.205 0.5175 0.3105 0.3465 4
1 0 0 0.475 0.375 0.13 0.5175 0.2075 0.1165 0.17 4
1 0 0 0.595 0.45 0.145 0.959 0.463 0.2065 0.2535 4
0 1 0 0.55 0.41 0.145 0.8285 0.3095 0.1905 0.25 5
0 1 0 0.565 0.455 0.15 0.8205 0.365 0.159 0.26 7
0 0 1 0.385 0.305 0.095 0.252 0.0915 0.055 0.09 5
1 0 0 0.615 0.48 0.18 1.1595 0.4845 0.2165 0.325 5
1 0 0 0.7 0.55 0.175 1.4405 0.6565 0.2985 0.375 4
0 1 0 0.605 0.485 0.165 1.0735 0.437 0.205 0.33 5
1 0 0 0.53 0.42 0.165 0.8945 0.319 0.239 0.245 4
0 0 1 0.395 0.29 0.095 0.304 0.127 0.084 0.077 2
0 0 1 0.47 0.35 0.135 0.567 0.2315 0.1465 0.1525 4
0 0 1 0.375 0.275 0.09 0.218 0.093 0.0405 0.0755 2
0 0 1 0.46 0.35 0.11 0.4675 0.2125 0.099 0.1375 3
1 0 0 0.285 0.21 0.075 0.1185 0.055 0.0285 0.04 3
1 0 0 0.545 0.41 0.145 0.873 0.3035 0.196 0.31 7
0 0 1 0.415 0.31 0.1 0.2805 0.114 0.0565 0.0975 2
1 0 0 0.585 0.45 0.15 0.997 0.4055 0.283 0.251 4
1 0 0 0.36 0.295 0.1 0.2105 0.066 0.0525 0.075 3
0 1 0 0.525 0.415 0.15 0.7155 0.2355 0.171 0.27 5
1 0 0 0.44 0.365 0.125 0.516 0.2155 0.114 0.155 4
0 0 1 0.245 0.18 0.065 0.071 0.03 0.013 0.0215 2
1 0 0 0.73 0.595 0.23 2.8255 1.1465 0.419 0.897 6
1 0 0 0.455 0.35 0.12 0.4835 0.1815 0.144 0.16 4
1 0 0 0.525 0.415 0.145 0.845 0.3525 0.1635 0.2875 3
0 0 1 0.5 0.375 0.12 0.529 0.2235 0.123 0.16 3
1 0 0 0.59 0.465 0.14 1.046 0.4695 0.263 0.263 3
0 0 1 0.61 0.475 0.15 0.9665 0.4145 0.2 0.345 4
1 0 0 0.62 0.475 0.185 1.325 0.6045 0.325 0.33 5
1 0 0 0.585 0.455 0.15 0.906 0.4095 0.23 0.2335 3
1 0 0 0.615 0.495 0.2 1.219 0.564 0.227 0.3885 4
0 1 0 0.595 0.465 0.145 1.107 0.402 0.2415 0.31 4
0 0 1 0.455 0.435 0.11 0.4265 0.195 0.09 0.1205 3
1 0 0 0.545 0.44 0.165 0.744 0.2875 0.204 0.25 5
1 0 0 0.685 0.55 0.19 1.885 0.89 0.41 0.4895 4
0 1 0 0.43 0.34 0.12 0.391 0.1555 0.095 0.1405 3
0 0 1 0.5 0.39 0.12 0.5955 0.2455 0.147 0.173 3
0 1 0 0.485 0.39 0.1 0.5565 0.2215 0.1155 0.185 3
0 1 0 0.505 0.41 0.135 0.657 0.291 0.133 0.195 5
0 0 1 0.355 0.26 0.09 0.1985 0.0715 0.0495 0.058 3
0 1 0 0.505 0.39 0.16 0.644 0.2475 0.2025 0.1635 3
1 0 0 0.335 0.25 0.09 0.181 0.0755 0.0415 0.06 3
0 0 1 0.53 0.42 0.155 0.81 0.4725 0.111 0.192 4
1 0 0 0.66 0.51 0.175 1.218 0.5055 0.303 0.37 4
0 0 1 0.405 0.315 0.105 0.347 0.1605 0.0785 0.1 3
0 1 0 0.72 0.55 0.18 1.52 0.637 0.325 0.435 4
0 1 0 0.485 0.365 0.14 0.6195 0.2595 0.1445 0.177 5
1 0 0 0.555 0.455 0.16 1.0575 0.3925 0.228 0.293 5
0 0 1 0.28 0.2 0.075 0.1225 0.0545 0.0115 0.035 2
0 0 1 0.545 0.375 0.12 0.543 0.2375 0.1155 0.1725 3
0 0 1 0.58 0.47 0.15 0.907 0.444 0.1855 0.2445 4
0 0 1 0.135 0.13 0.04 0.029 0.0125 0.0065 0.008 2
0 1 0 0.64 0.5 0.15 1.2015 0.559 0.231 0.3355 3
0 0 1 0.275 0.205 0.07 0.1055 0.495 0.019 0.0315 2
0 1 0 0.595 0.48 0.16 1.2095 0.5225 0.296 0.32 3
0 1 0 0.645 0.525 0.2 1.449 0.601 0.2565 0.505 5
1 0 0 0.525 0.4 0.13 0.622 0.2655 0.147 0.184 3
1 0 0 0.5 0.375 0.145 0.6215 0.274 0.166 0.1485 3
0 1 0 0.645 0.485 0.15 1.151 0.5935 0.2315 0.293 4
1 0 0 0.455 0.365 0.095 0.514 0.2245 0.101 0.15 5
0 0 1 0.58 0.44 0.145 0.7905 0.3525 0.1645 0.242 4
0 0 1 0.32 0.24 0.07 0.133 0.0585 0.0255 0.041 2
