total data point num: 285
2: 0.995895 0.991757 0.665897 0.164113 0.000445647
4: 0.992877 0.998959 0.999235 0.937189 0.896805
2: 0.994191 0.997141 0.962725 0.340393 0.0258191
3: 0.995555 0.999129 0.990308 0.886599 0.0297232
0: 0.994053 0.410789 0.018964 0.00389043 5.28352e-05
1: 0.995207 0.560421 0.0153679 0.00219191 2.10231e-05
1: 0.995823 0.943134 0.122408 0.00625877 7.05458e-05
2: 0.996478 0.994017 0.913249 0.0159625 0.0410829
0: 0.99255 0.198696 0.00673877 0.00317335 2.35007e-05
1: 0.996373 0.984325 0.319881 0.020123 0.00011446
1: 0.995118 0.500214 0.0122675 0.0019375 1.81973e-05
3: 0.99598 0.998882 0.991583 0.716698 0.0915053
3: 0.995556 0.999208 0.993022 0.936015 0.0394536
3: 0.99461 0.998591 0.98584 0.760868 0.0382051
2: 0.995674 0.983308 0.730841 0.00666483 0.011568
1: 0.994599 0.903928 0.472376 0.00498027 0.0102684
2: 0.996269 0.984211 0.703048 0.0047939 0.0093814
2: 0.996555 0.998376 0.981549 0.313227 0.0596575
0: 0.992298 0.349248 0.0369117 0.022155 0.000150969
0: 0.991427 0.306568 0.0285423 0.0171732 0.000126213
3: 0.995351 0.998429 0.981241 0.880607 0.01388
1: 0.994822 0.50124 0.0101101 0.00147265 1.40836e-05
2: 0.997475 0.997793 0.887674 0.0249433 0.00617534
3: 0.995659 0.999276 0.994069 0.943662 0.0466257
3: 0.996069 0.999205 0.990455 0.836625 0.0332716
2: 0.996494 0.991512 0.649292 0.00340768 0.00342732
4: 0.992814 0.99906 0.999511 0.963797 0.935123
2: 0.997058 0.997251 0.926915 0.056589 0.0134744
0: 0.992223 0.121986 0.00239799 0.000976116 8.92463e-06
1: 0.996285 0.98555 0.332556 0.0216543 0.000115284
3: 0.995238 0.997871 0.980053 0.904294 0.0151697
1: 0.99547 0.969263 0.393611 0.096915 0.000257392
1: 0.99536 0.843067 0.0557085 0.00544062 4.51419e-05
2: 0.994201 0.997491 0.991978 0.383294 0.389931
3: 0.995012 0.992384 0.873819 0.530399 0.0027525
3: 0.995508 0.999517 0.997595 0.983235 0.10713
4: 0.993456 0.999348 0.998866 0.977245 0.555005
2: 0.996136 0.988108 0.529184 0.0833717 0.000275597
2: 0.994022 0.997574 0.993537 0.466763 0.450498
2: 0.997085 0.994452 0.786754 0.00228051 0.0114847
4: 0.992167 0.999059 0.999648 0.977951 0.958195
3: 0.995264 0.994652 0.89649 0.55319 0.00279307
4: 0.992211 0.999169 0.998789 0.987904 0.500422
2: 0.996151 0.990689 0.862087 0.0105111 0.0271017
0: 0.992448 0.178901 0.00545675 0.00254545 1.93752e-05
3: 0.9956 0.999116 0.992862 0.938701 0.0401966
0: 0.99276 0.21597 0.00731292 0.00332482 2.40514e-05
2: 0.994355 0.992372 0.919454 0.0418288 0.0438519
3: 0.994261 0.994169 0.971632 0.928022 0.0200009
3: 0.99542 0.999257 0.993791 0.9471 0.0429597
2: 0.996773 0.996324 0.933858 0.0171802 0.0458361
2: 0.99754 0.997445 0.864249 0.0102068 0.00797532
3: 0.994774 0.992822 0.930179 0.795121 0.00592941
2: 0.995367 0.993861 0.888796 0.0225345 0.022102
2: 0.997291 0.994894 0.751473 0.00228805 0.00710063
2: 0.996357 0.991417 0.649 0.00260535 0.0040452
1: 0.996684 0.992523 0.450828 0.024296 0.000142517
2: 0.997129 0.996986 0.901385 0.0347372 0.00961265
2: 0.997074 0.994775 0.79581 0.00307635 0.0106047
1: 0.995958 0.969464 0.198117 0.0143089 7.74305e-05
2: 0.995978 0.996982 0.884421 0.450601 0.00128823
4: 0.991936 0.999009 0.999644 0.980513 0.956575
1: 0.995879 0.969736 0.224392 0.0147836 0.000105571
0: 0.992781 0.197919 0.00783265 0.00262171 3.32444e-05
2: 0.996823 0.99201 0.583843 0.00198116 0.00234093
3: 0.995546 0.999152 0.991038 0.902386 0.0313188
3: 0.995451 0.99916 0.993162 0.941359 0.0419792
1: 0.996422 0.986643 0.327149 0.0183675 0.000105895
2: 0.997536 0.99787 0.885394 0.0217664 0.00622341
3: 0.99384 0.997467 0.993263 0.503343 0.420817
1: 0.995312 0.817163 0.0467465 0.00489986 3.96564e-05
0: 0.991861 0.0869619 0.00210688 0.00115792 9.6924e-06
3: 0.992956 0.997867 0.991556 0.953562 0.0729549
3: 0.994187 0.988881 0.939326 0.897242 0.0096637
2: 0.997414 0.997999 0.907364 0.0337008 0.00766096
2: 0.997415 0.997978 0.901045 0.0320113 0.00681899
0: 0.99321 0.405172 0.0165306 0.00570745 3.77977e-05
2: 0.997146 0.997652 0.9291 0.0340236 0.0174454
4: 0.992262 0.99927 0.999762 0.986642 0.969131
2: 0.996674 0.998536 0.981957 0.27873 0.0616912
3: 0.993682 0.997836 0.982592 0.603748 0.0599687
3: 0.992877 0.997931 0.991414 0.95204 0.069841
4: 0.993049 0.999383 0.999745 0.981648 0.964213
4: 0.99301 0.999294 0.999682 0.974403 0.958333
0: 0.992281 0.162869 0.00362131 0.00149561 1.21309e-05
1: 0.995011 0.536081 0.010927 0.00140236 1.42551e-05
3: 0.995162 0.999031 0.990981 0.916891 0.0334285
1: 0.995429 0.808219 0.0623532 0.00787246 6.36733e-05
4: 0.99332 0.999012 0.998432 0.923946 0.657315
1: 0.996537 0.98957 0.356775 0.0201828 0.000100211
3: 0.994347 0.999193 0.995262 0.935293 0.102668
2: 0.996939 0.994646 0.827055 0.00347601 0.0155935
0: 0.993075 0.271685 0.00636078 0.00194717 1.61351e-05
0: 0.993039 0.260656 0.0144131 0.00592598 5.5905e-05
0: 0.993222 0.271123 0.0146247 0.00533185 5.61032e-05
2: 0.995777 0.992073 0.794936 0.00876456 0.0097878
1: 0.995016 0.67297 0.038158 0.00579317 5.66722e-05
3: 0.994955 0.994211 0.935177 0.772146 0.00576398
3: 0.995382 0.99847 0.983174 0.895734 0.0157805
2: 0.995514 0.994353 0.89413 0.0222933 0.0228757
0: 0.991756 0.111091 0.00220759 0.000977491 8.72789e-06
2: 0.996157 0.991726 0.917978 0.0285639 0.0486065
mean zero one error: 0.168421
class 1 0
	Recall: 0.977273 (43/44)
	Precison: 0.877551 (43/49)
class 2 1
	Recall: 0.615385 (40/65)
	Precison: 0.930233 (40/43)
class 3 2
	Recall: 0.857143 (72/84)
	Precison: 0.791209 (72/91)
class 4 3
	Recall: 0.907692 (59/65)
	Precison: 0.786667 (59/75)
class 5 4
	Recall: 0.851852 (23/27)
	Precison: 0.851852 (23/27)
mean absolute error: 0.175439

