total data point num: 152
2: 0.987726 0.992544 0.784977 0.222002 0.110938
1: 0.994962 0.911349 0.0429828 0.00391578 0.00382363
0: 0.990886 0.407864 0.0117325 0.00355625 0.00902403
1: 0.995683 0.932095 0.0275124 0.00122072 0.000533023
1: 0.992862 0.991217 0.416668 0.018245 0.00355347
0: 0.989125 0.190518 0.0049829 0.00274496 0.00852372
1: 0.995933 0.918795 0.0158468 0.00072156 0.000293955
1: 0.994729 0.980689 0.182182 0.00621859 0.00204725
1: 0.993963 0.981947 0.251134 0.0126156 0.0044294
0: 0.991374 0.164106 0.00230418 0.00114134 0.00345223
1: 0.993245 0.972803 0.163655 0.00781954 0.0023923
0: 0.989098 0.197052 0.00553483 0.00284797 0.0089012
1: 0.993145 0.969361 0.172254 0.0215426 0.0156985
2: 0.993806 0.995705 0.698075 0.0356081 0.00937441
1: 0.994633 0.923235 0.0569586 0.00371319 0.00234209
1: 0.994196 0.942817 0.0593803 0.00609765 0.00386758
0: 0.988054 0.217283 0.00736491 0.00431589 0.0129229
1: 0.993277 0.915756 0.0526585 0.0044904 0.00221849
3: 0.981082 0.997885 0.977816 0.616093 0.221096
1: 0.993726 0.981485 0.311753 0.0189846 0.00875147
0: 0.990923 0.143497 0.00220553 0.00119403 0.0037416
0: 0.990265 0.44268 0.0169824 0.00490959 0.0124277
1: 0.996076 0.610066 0.00228684 0.000219613 0.000193765
1: 0.988884 0.923862 0.360619 0.0629663 0.0963695
1: 0.995748 0.75371 0.00726347 0.000884917 0.00107476
1: 0.995509 0.954726 0.0660869 0.00276956 0.00129728
2: 0.993056 0.992331 0.636644 0.0630855 0.0324969
0: 0.990336 0.37863 0.01115 0.00395134 0.0102276
0: 0.987481 0.448359 0.0278633 0.0113833 0.0287373
2: 0.985189 0.99791 0.959212 0.397743 0.105799
2: 0.991069 0.997238 0.879397 0.123377 0.029247
3: 0.982282 0.998724 0.984105 0.631132 0.218034
1: 0.989464 0.931226 0.237802 0.0687359 0.115139
1: 0.99286 0.910828 0.0503538 0.0133447 0.0156677
2: 0.989977 0.996053 0.837891 0.110661 0.0215904
0: 0.989579 0.0833283 0.00150952 0.00114703 0.00414439
1: 0.992915 0.987773 0.418944 0.0219672 0.00611235
1: 0.990427 0.578599 0.0299507 0.00734661 0.016514
3: 0.983918 0.999177 0.990062 0.660842 0.208125
1: 0.995625 0.883092 0.0180244 0.00118178 0.000713479
1: 0.995106 0.890686 0.0308337 0.00298093 0.0030293
1: 0.9959 0.761697 0.00618707 0.00090936 0.00112169
1: 0.995736 0.749685 0.00637152 0.000959484 0.00122652
0: 0.990148 0.0888044 0.00139717 0.00103448 0.00355702
1: 0.996123 0.678141 0.00382292 0.000490057 0.000634329
3: 0.983846 0.998294 0.972182 0.610107 0.271082
4: 0.950612 0.999739 0.999184 0.980485 0.818545
1: 0.99453 0.867186 0.025624 0.00253421 0.00193906
3: 0.981813 0.999198 0.990695 0.680162 0.191193
1: 0.989321 0.532421 0.0295439 0.00890666 0.0210449
4: 0.963488 0.99983 0.999549 0.979691 0.812849
1: 0.994332 0.964814 0.114857 0.00558694 0.00211909
1: 0.994424 0.96537 0.138339 0.00793677 0.00409556
1: 0.994641 0.983341 0.227389 0.0085531 0.00290055
0: 0.987976 0.349442 0.0166817 0.00723287 0.0198266
1: 0.987506 0.556893 0.0481345 0.0156562 0.0373808
0: 0.988391 0.478444 0.0284707 0.00973454 0.0243529
1: 0.986796 0.539075 0.0517696 0.0175477 0.0430625
2: 0.992188 0.990668 0.508039 0.0288687 0.00651555
2: 0.992884 0.995383 0.684802 0.0462964 0.0116867
1: 0.98977 0.681611 0.0529117 0.0126664 0.0266282
1: 0.990677 0.991045 0.461034 0.0275145 0.00431533
3: 0.98339 0.999309 0.995574 0.806671 0.454859
1: 0.992912 0.964335 0.214437 0.0175917 0.0103207
1: 0.995985 0.947083 0.0365179 0.00140878 0.000642678
2: 0.985105 0.997712 0.933369 0.269695 0.0416295
2: 0.984258 0.998363 0.962926 0.387689 0.0718653
4: 0.982418 0.999399 0.996415 0.864035 0.592093
2: 0.98339 0.997589 0.962173 0.468868 0.143309
3: 0.987003 0.998896 0.981661 0.52153 0.168919
1: 0.994493 0.991932 0.455856 0.0177317 0.00556642
1: 0.990095 0.781985 0.0951868 0.0170774 0.0328718
1: 0.993844 0.952839 0.124843 0.00891389 0.005358
1: 0.991469 0.976787 0.333369 0.0258886 0.00947652
2: 0.986661 0.99517 0.897225 0.233173 0.0624222
2: 0.990172 0.990217 0.61299 0.101522 0.0481292
1: 0.994917 0.849538 0.0215487 0.00252246 0.00277591
2: 0.991835 0.99752 0.869434 0.0986042 0.0220175
1: 0.995105 0.981993 0.190809 0.00609434 0.00220039
2: 0.990465 0.994034 0.819046 0.13454 0.0526268
1: 0.995103 0.975482 0.128094 0.00573696 0.00248918
4: 0.981476 0.999268 0.995887 0.942946 0.892239
4: 0.968606 0.999729 0.99934 0.979109 0.880225
4: 0.985581 0.999149 0.993178 0.851721 0.721507
1: 0.994028 0.981324 0.262727 0.0105594 0.00351346
2: 0.992182 0.995908 0.753472 0.0612454 0.0144447
1: 0.988639 0.725261 0.0865486 0.0206664 0.042496
1: 0.994416 0.977185 0.100818 0.00329799 0.000727436
1: 0.995475 0.98407 0.177892 0.00498997 0.00174168
1: 0.99127 0.760979 0.0597898 0.0103801 0.0202101
1: 0.994352 0.93142 0.0646453 0.00740567 0.00735879
2: 0.989591 0.997269 0.899362 0.155589 0.0293747
3: 0.984187 0.998352 0.968863 0.581645 0.245348
1: 0.996095 0.828177 0.00811112 0.000564999 0.000373731
2: 0.988591 0.997304 0.878546 0.144885 0.0261176
1: 0.989778 0.646523 0.0453715 0.0112742 0.0242281
1: 0.994899 0.967215 0.107339 0.00414162 0.00156921
1: 0.988968 0.925283 0.395125 0.0631715 0.0958797
1: 0.990048 0.786556 0.0943391 0.0178774 0.0340469
1: 0.990822 0.80852 0.0990912 0.0153092 0.0282575
1: 0.994444 0.855129 0.0242317 0.0021494 0.00145211
2: 0.984822 0.996953 0.952697 0.401936 0.121645
1: 0.991433 0.867287 0.155205 0.017713 0.0297718
1: 0.994524 0.866408 0.0257254 0.0025323 0.00194911
2: 0.994597 0.99254 0.538385 0.0225012 0.00824879
1: 0.996254 0.936823 0.0234096 0.00117066 0.000611895
1: 0.995281 0.841936 0.0165912 0.00120132 0.00085416
0: 0.989444 0.17467 0.00412178 0.00231653 0.00723904
2: 0.990525 0.997708 0.921725 0.203173 0.053773
3: 0.983012 0.999084 0.989456 0.672791 0.248361
1: 0.995495 0.615069 0.00337893 0.000708651 0.0010425
1: 0.995896 0.714611 0.00526509 0.000672015 0.000849805
mean zero one error: 0.25
class 1 0
	Recall: 0.652174 (15/23)
	Precison: 0.833333 (15/18)
class 2 1
	Recall: 0.890411 (65/73)
	Precison: 0.755814 (65/86)
class 3 2
	Recall: 0.606061 (20/33)
	Precison: 0.666667 (20/30)
class 4 3
	Recall: 0.538462 (7/13)
	Precison: 0.7 (7/10)
class 5 4
	Recall: 0.7 (7/10)
	Precison: 0.875 (7/8)
mean absolute error: 0.263158

